sql_mestre,zona_removida,ca_removido,fonte_removida,zona_vigente,motivo
0060570013,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060570014,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060570015,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060570016,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060570017,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060570018,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060570019,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060570020,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060570021,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060570022,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060570023,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060570024,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060570025,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060570026,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060580000,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0080390054,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0100220001,ZOE,1,GeoSampa(Lei18177→ZOE)+Q3,ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0100220002,ZOE,1,GeoSampa(Lei18177→ZOE)+Q3,ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0100220003,ZOE,1,GeoSampa(Lei18177→ZOE)+Q3,ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0110770004,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0111080001,ZOE,1,GeoSampa(Lei18177→ZOE)+Q3,ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0130050001,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0130050002,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0130050003,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0130090082,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460000,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460049,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460057,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460058,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460059,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460060,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460061,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460062,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460063,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460064,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460065,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460066,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460067,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460068,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460069,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460070,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460074,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460112,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460129,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460130,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0280460134,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0361380154,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0513190002,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0812100001,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0825170012,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0825170014,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0980470002,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0990280082,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0990280083,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0990280084,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
1231280001,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
1970340026,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
2000560004,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
2000580001,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
