sq,codlog,valor_m2_brl
001081,032107,11151.89
001081,038423,9578.73
001081,167703,9551.02
001082,008664,9393.58
001082,052000,7918.67
001082,167495,9480.49
001082,167703,9578.73
001083,034037,9562.36
001083,044695,22407.05
001083,126500,22181.60
001083,167495,9523.31
001083,191353,9578.73
001084,008664,9578.73
001084,059447,11621.69
001084,140511,9578.73
001084,156035,9578.73
001084,167703,9559.84
001085,008664,9578.73
001085,167495,9578.73
001085,167703,9578.73
001085,188816,9578.73
001086,059447,10185.83
001086,140511,9499.38
001086,167495,9379.73
001086,188816,9538.43
001087,170607,1712.96
001087,189936,2333.91
002011,038121,2580.78
002011,041467,1806.17
002011,050644,1516.48
002011,061620,1508.92
002012,038121,2335.17
002012,061620,1505.14
002012,066427,1505.14
002012,122858,1505.14
002013,061620,1505.14
002013,066427,1505.14
002013,076830,1505.14
002013,122858,1505.14
002014,061620,1505.14
002014,066427,1505.14
002014,076830,1505.14
002014,117480,1505.14
002015,050644,1505.14
002015,061620,1505.14
002015,066427,1505.14
002015,117480,1505.14
002016,041467,1993.84
002016,050644,1510.18
002016,066427,1656.28
002016,137332,1803.65
002017,012769,1992.58
002017,038121,2342.73
002017,066427,1992.58
002017,138215,3050.58
002017,155110,1643.69
002017,174009,1990.06
002022,041467,8780.19
002022,066427,8693.28
002022,137332,9018.24
002022,156299,9582.51
002031,024040,8377.14
002031,041467,8377.14
002031,066427,8377.14
002031,138533,8377.14
002032,024040,8322.98
002032,041467,8549.70
002032,066427,8573.63
002032,095753,8105.08
002032,159840,9316.75
002040,012769,2029.10
002040,072362,2029.10
002047,006661,2733.18
002047,012769,2287.31
002047,024368,2312.50
002047,070173,2312.50
002048,007757,3114.82
002048,012769,3784.89
002048,072362,3412.07
002048,177067,3545.58
002052,066427,3939.81
002052,077860,3939.81
002052,138533,3939.81
002052,159840,3939.81
002052,198277,3939.81
002057,012769,4253.44
002057,053724,3491.42
002057,077860,3709.32
002057,177067,3292.41
002059,033871,5418.50
002059,044695,5880.75
002059,070246,4588.47
002059,172260,5869.41
002059,195430,6359.37
002059,204188,6239.72
002060,012424,9578.73
002060,126500,9499.38
002060,167495,9139.16
002060,204188,7151.62
002061,012424,8948.97
002061,167495,9523.31
002061,175455,8416.19
002061,204188,9469.15
002062,072281,7151.62
002062,204188,7151.62
002063,072281,7151.62
002063,204188,7151.62
002066,087343,4737.10
002066,159840,4269.81
002066,197459,5238.39
002067,033871,4781.18
002067,123102,4559.50
002067,131636,4325.23
002067,197459,4792.51
002068,072281,7416.12
002068,172260,7113.83
002068,175455,9416.25
002068,195430,7108.79
002070,033871,4836.60
002070,123102,4989.00
002070,168700,6219.56
002070,197459,4574.62
002072,175455,7616.38
002072,183202,6894.67
002072,188387,8189.47
002072,195430,7188.14
002073,051110,7640.31
002073,172260,6894.67
002073,183202,6501.70
002073,195430,6108.72
002074,033871,4849.19
002074,051110,8300.31
002074,168700,5608.69
002074,172260,5059.54
002074,195430,5257.28
002076,012106,3459.93
002076,071226,3738.29
002076,077860,3951.15
002076,132268,3692.94
002078,071226,3738.29
002078,132268,3466.23
002078,167215,3213.06
002078,168700,3301.23
002079,114030,3053.10
002079,132268,3587.14
002079,167215,3126.16
002079,168700,3109.78
002083,012769,3525.43
002083,077860,3590.92
002083,098736,3681.61
002083,168700,3648.86
003002,044555,3672.79
003002,072109,3869.28
003002,182109,4065.77
003002,185566,3522.91
003003,003069,3559.43
003003,012033,3574.55
003003,044342,3920.92
003003,044555,3549.36
003003,076104,3617.37
003003,168700,4876.90
003004,076104,3666.49
003004,159840,4201.79
003004,168700,3934.77
003004,691496,3934.77
003005,076104,3109.78
003005,691496,3109.78
003005,724076,3109.78
003006,003069,3165.20
003006,044342,3442.30
003006,044555,3260.93
003006,185566,2918.33
003009,066427,3109.78
003009,159840,3109.78
003010,026670,2180.25
003010,069124,2570.70
003010,071226,1898.11
003010,168700,4209.35
003015,125490,1798.61
003015,135895,2202.92
003015,163589,2553.07
003015,168700,3204.25
003034,032425,2367.92
003034,071226,2157.58
003034,142131,2622.34
003034,199265,2434.67
003045,005436,3674.05
003045,050733,1938.42
003045,098310,1938.42
003045,142131,2343.99
003060,005436,2377.99
003060,013072,2566.92
003060,065625,2554.33
003060,155241,2084.52
003060,163589,2798.68
003060,412805,2388.07
003061,005436,3367.99
003061,013072,2512.76
003061,142131,2211.74
003061,334847,1934.64
003061,412805,1846.47
004008,035173,2175.21
004008,098310,1919.53
004008,142131,2850.32
004008,151181,1874.18
004011,080241,3486.38
004011,137472,3486.38
004011,187771,3486.38
004011,195030,3486.38
004017,035173,1809.95
004017,098310,1597.09
004017,148806,1762.08
004017,151181,1827.58
004024,117943,1667.62
004024,155845,1667.62
004024,159930,1667.62
004024,162221,1667.62
004031,117943,1847.73
004031,146200,1847.73
004031,156744,1847.73
004031,187771,1847.73
004033,057886,1501.36
004033,117943,1501.36
004033,146200,1847.73
004033,152277,1501.36
004033,159930,1501.36
004033,755745,1501.36
004034,057886,1501.36
004034,117943,1501.36
004034,159930,1490.03
004034,197017,1469.87
004034,755745,1490.03
004035,066427,2216.77
004035,117943,1689.03
004035,122386,1689.03
004035,173711,1689.03
004035,197017,1689.03
004038,057886,1879.22
004038,122386,1879.22
004038,140287,1879.22
004038,197017,1879.22
004043,080241,2073.19
004043,090328,1929.60
004043,116491,2048.00
004043,187771,2013.99
004048,006378,1712.96
004048,066427,1893.07
004048,122386,1658.80
004048,182087,1318.73
004050,008141,1564.34
004050,066427,2088.30
004050,098310,1488.77
004050,100510,1648.73
004050,163074,1350.22
004053,048291,1636.13
004053,114545,1696.59
004053,152277,2008.95
004053,187801,1779.72
004054,057886,1624.79
004054,114545,1595.83
004054,152277,1883.00
004054,159930,1469.87
005001,068896,9578.73
005001,156035,9578.73
005002,068896,9345.72
005002,108138,7395.97
005002,118249,9486.79
005003,032107,9435.15
005003,108138,9469.15
005003,118249,9459.08
005003,152790,9139.16
005003,156035,9174.42
005004,032107,9480.49
005004,059447,10666.97
005004,108138,9503.16
005004,167444,9578.73
005005,059447,12053.71
005005,108138,9554.80
005005,167444,9578.73
005008,073369,6641.51
005008,118249,8129.01
005008,152617,6641.51
005010,073350,8129.01
005010,108138,9578.73
005010,152790,9578.73
005010,157392,9578.73
005011,031895,9165.61
005011,108138,9496.86
005011,157392,9321.79
005011,167444,9289.04
005012,059447,11518.41
005012,108138,9437.66
005012,154733,9432.63
005012,167444,9578.73
005012,175455,8812.94
005013,055204,7422.42
005013,073350,7422.42
005013,073369,6267.43
005013,152617,7395.97
005013,170259,7991.72
005014,031895,9443.96
005014,069337,7608.83
005014,073350,7836.80
005014,167444,9578.73
005015,031895,9515.76
005015,154733,9562.36
005015,167444,9578.73
005015,175455,9416.25
005016,010030,6104.95
005016,023981,6355.59
005016,027952,6147.77
005016,146757,5810.22
005016,197645,6104.95
005017,010030,6276.24
005017,023981,6505.48
005017,078530,6510.52
005017,121657,7233.49
005017,133175,6631.43
005017,146757,5890.83
005019,121657,7479.09
005019,170259,6534.45
005019,197645,6108.72
005020,055204,7681.88
005020,069337,7717.15
005020,167444,9441.44
005020,170259,7588.67
005021,031895,9469.15
005021,069337,7573.56
005021,167444,9365.87
005021,175455,8714.69
005022,069337,7324.17
005022,103764,8042.10
005022,167444,9226.06
005022,175455,8563.55
005023,073296,4292.48
005023,078530,3928.48
005023,133175,6874.52
005024,003786,4689.23
005024,073296,4329.01
005024,121657,6865.70
005024,133175,6612.54
005025,103764,7128.94
005025,121657,8257.48
005025,156353,8037.07
005025,167444,7258.68
005025,170259,7340.55
005025,197645,6524.37
005026,175455,8416.19
005028,069671,6931.20
005028,103764,7097.46
005028,150223,7280.09
005028,175455,8253.71
005030,008648,4526.75
005030,103764,6723.38
005030,172936,6815.32
005030,181153,8970.38
005032,014540,6878.30
005032,051110,6878.30
005032,150223,6878.30
005034,003786,3978.86
005034,010030,4014.12
005034,073296,4109.85
005034,097632,4766.06
005034,121657,8260.00
005035,023981,2859.14
005035,098957,2895.66
005035,121657,7021.88
005038,008648,4963.81
005038,043680,4320.19
005038,118184,8888.51
005038,172936,4641.37
005039,067083,4224.47
005039,077330,6147.77
005039,080292,4130.00
005039,118184,9265.11
005039,118206,6147.77
005040,067083,4127.48
005040,076643,4230.76
005040,080292,4355.46
005040,162493,3899.51
005043,044873,2743.26
005043,102385,2971.23
005043,149802,2657.61
005043,178640,2990.13
005044,076643,4725.76
005044,123889,2975.01
005044,178640,3447.34
005044,190500,3240.77
005046,067083,2398.15
005046,134970,2963.68
005046,178640,2947.30
005046,185167,2167.65
005046,190500,2907.00
005046,204242,2879.29
005048,097632,3483.86
005048,118052,3165.20
005048,121657,7767.53
005048,178128,3335.24
005048,178136,3952.41
005051,002534,4238.32
005051,067083,4491.49
005051,077330,4868.09
005051,080292,4361.76
005053,067083,2458.60
005053,076643,4485.19
005053,123650,2935.97
005053,190500,2211.74
005058,010880,3914.62
005058,077330,3875.58
005058,080292,3914.62
005061,010880,4031.76
005061,077330,4832.82
005061,164577,3880.61
005061,190560,4181.64
005063,007838,4142.60
005063,076643,3880.61
005063,080292,4074.58
005063,090328,3971.30
005066,080241,2255.82
005066,090328,2308.72
005066,119210,1910.71
005066,156744,2406.96
005066,183270,2491.35
005067,077330,4585.95
005067,090328,4225.73
005067,118184,9669.42
005067,190560,3907.06
005069,077330,4651.45
005069,080292,3944.85
005069,090328,4011.61
005069,105120,3713.10
005071,076643,4269.81
005071,080292,2707.99
005071,090328,2488.83
005071,465194,2700.43
005072,080292,2491.35
005072,090328,2650.05
005072,183270,2597.15
005072,465194,2592.11
005073,080241,2335.17
005073,090328,2446.01
005073,183270,2292.35
005076,044873,2850.32
005076,076643,3559.43
005076,080241,3601.00
005076,102385,3006.50
005076,103764,6717.08
005076,149802,2657.61
005076,151017,3621.15
005076,178640,2963.68
005076,178659,2949.82
005076,185566,3954.93
005079,077330,5219.50
005079,118184,9979.26
005079,118206,4313.89
005082,024155,2973.75
005082,043680,2973.75
005082,118184,8117.68
005082,118206,8893.55
005084,076643,3448.60
005084,156744,2569.44
005084,465194,2569.44
005086,178128,3714.36
005086,178136,2914.55
005086,197645,3315.09
005087,097632,3344.05
005087,118184,9797.89
005087,178136,3185.35
005087,197645,3264.70
005090,009130,2330.13
005090,067083,2211.74
005090,123650,2281.01
005090,175137,2303.68
005092,080241,2049.26
005092,156744,2570.70
005092,333069,2466.16
005092,356476,2466.16
005092,465194,2776.01
005093,012190,2330.13
005093,067083,2152.54
005093,175137,2330.13
006001,038741,5146.44
006001,052450,8243.63
006001,075930,6121.32
006001,081965,5480.22
006001,203998,5583.50
006002,024970,5525.56
006002,052450,7652.91
006002,136140,5525.56
006002,203998,5525.56
006006,029475,6649.06
006006,076694,6649.06
006006,170003,6931.20
006006,181080,7911.11
006007,029475,7106.27
006007,036242,9079.96
006007,076694,6437.46
006007,109860,8942.67
006007,121320,9949.03
006007,170003,8936.37
006007,181080,9054.77
006008,095435,8635.34
006008,108901,8986.75
006008,170003,9841.97
006008,181080,8859.54
006009,095435,9039.65
006009,108901,8867.10
006009,170003,9683.27
006009,197599,8907.40
006010,092762,11029.71
006010,101010,9100.11
006010,108901,8281.42
006010,197599,8792.78
006011,024970,6955.13
006011,038741,5258.54
006011,075930,5182.97
006011,081965,5242.17
006011,203998,5291.29
006012,052450,8590.00
006012,075930,6776.28
006012,145130,6700.70
006013,052450,8710.92
006013,136328,6636.47
006013,145130,6675.51
006014,036242,7171.77
006014,052450,7171.77
006014,121320,7171.77
006015,095435,8416.19
006015,108901,8587.48
006015,129518,8215.92
006015,181080,8288.97
006016,095435,8676.91
006016,108901,9079.96
006016,168610,8967.86
006016,197599,8920.00
006017,054950,8652.98
006017,101010,8587.48
006017,108901,7805.31
006017,197599,8535.84
006020,008800,5996.63
006020,026174,7144.06
006020,136140,5670.41
006020,136328,7696.99
006020,148040,5067.09
006020,167185,5670.41
006021,008800,7141.54
006021,136328,7181.84
006021,167185,7024.40
006023,036242,7355.66
006023,181080,8726.03
006023,199966,7776.34
006024,054950,9027.06
006024,095435,8851.98
006024,129518,8947.71
006024,181080,8835.61
006025,054950,8676.91
006025,181080,8283.93
006025,199966,8844.43
006026,168610,6077.24
006027,054950,7156.65
006027,072818,8343.13
006027,101010,7863.25
006027,168610,8925.04
006032,008800,6445.02
006032,101184,7509.32
006032,148040,5698.12
006036,072818,6754.86
006036,141020,6754.86
006036,199966,9034.61
006038,015210,4252.18
006038,058874,3661.46
006038,168491,4373.09
006038,170755,4006.57
006039,058874,4524.23
006039,059854,4264.77
006039,168491,3828.97
006039,170755,3447.34
006040,000582,4118.67
006040,015210,4769.84
006040,054666,4769.84
006040,058874,4404.58
006040,059854,3803.78
006043,015210,4340.34
006043,121789,3384.36
006043,126900,4417.17
006044,015210,4301.30
006044,121789,3383.10
006044,126900,4558.24
006044,191540,4399.54
006045,015210,5237.13
006045,104078,4551.94
006045,126900,3952.41
006045,191540,4447.40
006045,422258,4777.40
006047,038008,4142.60
006047,058874,4488.97
006047,059854,4349.16
006047,168491,3917.14
006047,198765,4142.60
006047,218227,3900.77
006047,441961,4054.43
006048,000582,4050.65
006048,058874,4355.46
006048,059854,4185.42
006048,097632,4177.86
006048,099767,3920.92
006048,099775,4373.09
006049,000582,3836.53
006049,099767,4051.91
006051,010030,4158.97
006051,097586,6152.81
006051,099414,4220.69
006051,145092,3574.55
006053,003786,4461.26
006053,010030,4293.74
006053,078530,4059.47
006053,133175,6321.59
006054,115380,4054.43
006054,126900,4000.27
006054,168491,4107.33
006055,000582,4237.06
006055,097632,3734.51
006055,099775,4385.69
006055,118036,3749.62
006056,000582,4174.09
006056,000604,3629.97
006056,010030,4165.27
006056,010065,3920.92
006056,097632,4138.82
006056,099414,3860.46
006057,010030,4337.82
006057,010065,4054.43
006057,099414,3637.53
006057,145092,3645.08
006058,003786,3982.64
006058,010030,4203.05
006058,073296,3992.71
006059,088714,4004.05
006059,115380,3975.08
006059,121649,4162.75
006059,121657,8611.41
006059,196606,3757.18
006060,010030,4778.66
006060,115380,4773.62
006060,121649,4020.42
006060,121657,6899.71
006063,054666,4520.46
006063,097551,4512.90
006063,099414,4516.68
006064,021156,6433.68
006064,052450,8062.26
006064,092762,8726.03
006064,121320,8030.77
006068,015210,4391.98
006068,059854,4114.89
006068,168491,4300.04
006068,336157,4054.43
006073,059854,3587.14
006073,168491,3928.48
006073,218227,3759.70
006074,104078,4463.78
006074,115380,4436.07
006074,126900,4048.13
006074,168491,4590.99
007001,013560,4441.11
007001,057975,4131.26
007001,077283,4467.56
007001,163830,4371.83
007002,019127,4504.08
007002,101010,4209.35
007002,113379,4452.44
007002,149098,4284.92
007002,163830,3959.97
007006,019127,3959.97
007006,101010,3924.70
007006,147508,3788.67
007006,153583,4432.29
007008,019127,4186.68
007008,113379,4061.99
007008,147508,4325.23
007008,198625,3939.81
007013,080233,4102.29
007013,101010,4166.53
007013,147508,4433.55
007013,153583,4310.11
007022,013560,11338.30
007022,096466,8093.75
007022,098477,7780.12
007022,187364,7470.28
007031,013560,10694.68
007031,098477,8722.25
007031,135968,7467.76
007031,136220,7220.89
007043,013560,11639.32
007043,087718,11640.58
007043,135968,8164.28
007043,136220,8141.61
007044,025763,10508.27
007044,096482,11087.65
007044,135968,11256.43
007044,136220,6835.47
007046,048283,7875.85
007046,096482,7875.85
007046,098477,7875.85
007046,195871,7875.85
007050,023000,6806.50
007050,032310,6183.04
007050,093726,6073.46
007050,169579,6466.43
007051,023000,5929.87
007051,046590,6302.69
007051,101010,7986.69
007052,023000,7912.37
007052,101010,8112.64
007052,198471,5729.61
007053,087718,10663.19
007053,096482,10068.69
007053,135968,10639.26
007053,175579,11187.15
007054,087718,7957.72
007054,099694,7957.72
007054,175579,10727.42
007054,195871,7957.72
007057,048283,7101.23
007057,096482,6907.27
007057,099694,7278.83
007057,197181,7020.63
007061,023019,6083.53
007061,025950,5932.39
007061,032310,6271.20
007062,023000,6446.28
007062,023019,6140.21
007062,025950,6393.38
007062,196894,6542.00
007069,032310,6041.97
007069,096482,6000.41
007069,099694,6142.73
007069,169579,6115.02
007070,023019,6267.43
007070,025950,5690.56
007070,032310,5337.89
007070,096482,6267.43
007070,170003,7912.37
007071,023019,6143.99
007071,025950,6256.09
007071,170003,6402.20
007071,196894,6889.63
007072,025950,6293.88
007072,105627,6208.23
007072,170003,7626.46
007072,196894,7985.43
007075,092762,8966.60
007075,101010,8011.88
007075,170003,9321.79
007075,189693,6589.87
007076,131415,7244.82
007076,181021,7285.13
007076,197181,7566.00
007085,021156,6438.72
007085,032310,6263.65
007085,096482,6632.69
007085,099694,6786.35
007085,170003,7149.10
007086,021156,5618.77
007086,032310,6466.43
007086,099694,6431.16
007086,181021,6553.34
007087,021156,6635.21
007087,092762,8607.63
007087,170003,7534.51
007087,181021,6256.09
007088,170003,6649.06
007090,021156,6826.66
007090,032310,5337.89
007090,065234,5574.68
007090,092762,8508.13
007090,181021,5913.50
007091,065234,6162.88
007091,092762,8845.69
007091,188042,5956.32
008002,028690,4252.18
008002,062634,4310.11
008002,149098,4424.73
008002,170534,4189.20
008002,198625,4384.43
008003,002160,4034.28
008003,062634,4710.65
008003,170534,4357.98
008003,198625,4441.11
008004,002160,4646.41
008004,062634,4834.08
008004,118834,5938.69
008004,170534,4471.33
008009,058815,3637.53
008009,062634,2851.58
008009,163210,3242.03
008009,170534,3849.13
008012,002160,4203.05
008012,045160,4364.27
008012,170534,4555.72
008012,198625,4393.24
008013,002160,4432.29
008013,118834,6145.25
008013,147508,4710.65
008013,170534,4226.99
008014,118834,6212.01
008014,144533,4667.82
008014,147508,4880.68
008014,170534,4391.98
008015,082554,4635.07
008015,144533,4400.80
008015,147508,4830.30
008015,170534,4070.80
008016,082554,4822.74
008016,147508,3820.16
008016,170534,4822.74
008016,171158,4079.62
008017,147508,3566.99
008017,163210,3263.44
008017,170534,3311.31
008017,171158,3493.94
008018,058815,3249.59
008018,147508,3150.09
008018,163210,3888.17
008018,170534,3283.60
008019,050989,3260.93
008019,058815,3347.83
008019,147508,3007.76
008019,170534,3272.26
008021,040126,3844.09
008021,080233,4956.25
008021,103829,4162.75
008021,118834,5234.61
008022,080233,4121.18
008022,118834,6011.74
008022,144533,4693.01
008022,147508,4404.58
008023,080233,4417.17
008023,082554,4460.00
008023,144533,4492.75
008023,147508,4312.63
008024,080233,3820.16
008024,082554,4400.80
008024,147508,3239.51
008024,171158,4705.61
008025,080233,3002.72
008025,147508,3214.32
008025,163210,2943.52
008025,171158,4718.20
008026,052922,2967.45
008026,058815,3335.24
008026,147508,3704.28
008026,163210,3335.24
008034,080233,3742.07
008034,082554,4258.47
008034,086568,4413.40
008034,144533,3869.28
008036,052922,2695.40
008036,080233,2335.17
008036,086568,3201.73
008036,163210,2641.24
008036,171158,3602.26
008037,052922,2748.30
008037,058815,2779.78
008037,086568,3026.65
008037,163210,2890.62
008038,050989,2545.51
008038,052922,2540.47
008038,058815,3126.16
008038,080233,2621.08
008038,086568,2639.98
008039,050989,2660.13
008039,111376,13459.35
008039,113468,3502.76
008039,119660,7247.34
008039,137332,3165.20
008039,147508,2240.71
008039,151408,3332.72
008039,181935,6588.61
008045,086568,4579.65
008045,118834,6266.17
008045,144533,4635.07
008045,173746,4461.26
008053,040126,5449.99
008053,046590,5714.49
008053,101010,8248.67
008053,151416,5449.99
008057,082554,4909.65
008057,093688,6218.30
008057,151416,4679.16
008057,171158,9484.27
008058,046590,13372.44
008058,062855,11373.56
008058,151416,10620.36
008058,171158,13534.92
008059,012670,9244.96
008059,046590,13784.31
008059,062855,10544.79
008059,113468,12017.18
008059,151416,9991.86
008060,012670,10006.97
008060,113468,10273.99
008060,137332,9198.35
008060,151408,10402.47
008060,151416,10302.96
008061,040126,5257.28
008061,101010,8215.92
008061,113395,8081.15
008061,118834,5446.21
008061,151416,5064.57
008065,062855,18589.42
008065,085367,11883.67
008065,151416,10255.10
008065,171158,13873.73
008066,012670,9441.44
008066,062855,19267.04
008066,085367,10044.76
008066,151416,9455.30
008067,012670,8970.38
008067,085367,8935.11
008067,151416,9665.64
008067,191779,8615.19
008068,085367,11022.15
008068,151408,10178.27
008068,166634,10932.73
008068,191779,10529.68
008070,085367,4674.12
008070,118834,5188.01
008070,144533,4948.70
008070,198471,4829.04
008073,062855,19785.97
008073,085367,11898.79
008073,171158,13261.60
008073,198471,11655.70
008074,012670,10552.35
008074,062855,19607.12
008074,085367,9717.28
008074,198471,10763.95
008075,012670,9659.34
008075,085367,9528.35
008075,191779,9451.52
008075,198471,9578.73
008076,085367,8605.11
008076,166634,8836.87
008076,191779,9524.57
008076,198471,10267.70
008078,025950,5167.86
008078,113395,8482.94
008078,144533,5033.09
008078,198471,5298.85
008081,025950,12651.99
008081,062855,19487.46
008081,171158,14888.91
008081,198471,12379.93
008082,012670,9981.78
008082,025950,9742.47
008082,062855,18769.53
008082,198471,10004.45
008083,012670,10216.05
008083,025950,9761.36
008083,191779,10342.01
008083,198471,9617.78
008088,025950,11673.33
008088,062855,18919.41
008088,171158,13571.45
008088,189693,12088.98
008089,012670,9103.89
008089,025950,9722.32
008089,062855,18134.73
008089,189693,9590.07
008090,012670,9372.17
008090,025950,9181.98
008090,054607,9544.72
008090,189693,9386.02
008093,062855,19040.33
008093,092762,12474.39
008093,171158,13968.20
008093,189693,13498.39
008094,012670,9465.37
008094,062855,18709.07
008094,092762,14556.40
008094,189693,9679.49
009001,015210,3593.44
009001,126900,4288.70
009001,148040,6155.33
009001,167088,5695.60
009001,177156,3910.84
009004,121789,3941.07
009004,126900,3995.23
009004,191540,4360.50
009004,196134,3820.16
009005,045039,4458.74
009005,126900,3820.16
009005,175170,4161.49
009005,191540,4544.39
009006,045039,4201.79
009006,126900,4618.70
009006,168491,4203.05
009006,175170,5237.13
009007,045039,4192.98
009007,126900,4093.48
009007,132713,4022.94
009007,168491,4131.26
009008,045039,4135.04
009008,058874,4252.18
009008,115380,4323.97
009008,132713,4093.48
009011,015210,3896.99
009011,045039,3847.87
009011,121789,3996.49
009011,196134,3666.49
009011,334545,3589.66
009012,045039,6059.60
009012,121789,3983.90
009012,191540,4544.39
009012,196134,4519.20
009014,043214,9888.58
009014,070050,6583.57
009014,095460,7811.61
009014,148040,7678.10
009014,162124,7490.43
009014,164291,7494.21
009015,043478,6470.21
009015,095460,7288.91
009015,153729,7330.47
009015,171271,5652.77
009016,095460,7261.20
009016,153729,7887.18
009016,182320,7827.98
009017,095460,5353.01
009017,172375,4257.21
009017,179949,3049.32
009017,182320,4734.58
009017,499706,4385.69
009018,135640,4495.27
009018,170445,5336.63
009018,172375,2670.21
009018,179949,3531.72
009018,193453,3685.39
009018,334367,3177.80
009019,073210,8547.18
009019,105481,8239.85
009019,135640,4172.83
009019,193321,7072.27
009019,195324,5463.84
009020,073210,7298.98
009020,088072,8741.14
009020,091910,7748.63
009021,045039,6433.68
009021,072850,6775.02
009021,091910,7116.35
009021,191540,4572.10
009022,045039,3948.63
009022,072850,4424.73
009022,175170,4356.72
009022,191540,4499.04
009023,045039,4181.64
009023,072850,3992.71
009023,168491,3766.00
009023,175170,4689.23
009024,045039,3962.48
009024,072850,3633.75
009024,132713,3448.60
009024,168491,3820.16
009025,045039,4093.48
009025,058874,4216.91
009025,121657,7811.61
009025,132713,3737.03
009026,045039,4491.49
009026,058874,4074.58
009026,088714,4334.05
009026,121657,7544.59
009032,088714,7068.49
009032,121657,8136.57
009032,136190,7048.33
009032,155705,6115.02
009032,179655,6743.53
009037,006068,8658.02
009037,030813,7791.46
009037,073210,9050.99
009037,091910,9130.34
009038,072850,6752.34
009038,091910,6752.34
009038,121657,6500.44
009038,191540,4585.95
009039,121657,4975.15
009039,175170,3832.75
009039,191540,4686.71
009039,334510,3470.01
009040,121657,6703.22
009040,160105,3971.30
009040,175170,3971.30
009041,072850,3558.17
009041,121657,6462.65
009041,160105,4240.84
009041,168491,4415.92
009041,175170,3845.35
