drive_id,nome,tipo,tema,camada,oficialidade,uso_atual,ext
1eZI21f1oY7j41uA1pjWebLXfdXBAJ3U2,08-25 - Complementação e detalhamento da Resolução 02-24 - MAPA_1c24ee.pdf,PDF,GEO,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1a0SmsHFQqsD_42KDyt4wa0jqeIHQITYG,10-23 - Tombamento Vila João Migliari - MAPA_303b6b.pdf,PDF,GEO,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1JMLMdZ4TefOo6WMX96DOWF9nPVDbHIZc,13-24 - APT do Terreiro de Candomblé Ilé Dara Asé Òsun Eyin - Mapa_7fa664.pdf,PDF,GEO,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1wjY8TdMzgpMb9RYjlWc4tDIxwfsKKRxO,ANEXOS_DO_PL_586_23___SEM_O_MAPA (1).pdf,PDF,GEO,DOCUMENTOS,DESCONHECIDO,DESCARTE,pdf
1_acpqPzJEpPDkAwZsrYQFiJ0RdB-d4Kt,ANEXOS_DO_PL_586_23___SEM_O_MAPA (1)_9d9243.pdf,PDF,GEO,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1okevhHSbfLnsXsRW-jAaYAfM4hSN_Tul,Anexo_2024-06501-00_2dbf19.pdf,PDF,GEO,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1z1vzLwutPIcuA2mZHlYVIEnf7cHvmCe9,MAPA_PL_586_23.pdf,PDF,GEO,DOCUMENTOS,DESCONHECIDO,DESCARTE,pdf
1PXLewqoKWMen71Ffpy-wd6toWbIjxPBg,Mapa02_ZEPEC.pdf,PDF,GEO,DOCUMENTOS,DESCONHECIDO,DESCARTE,pdf
1AZ8EEybSmHBmS8jnlHvQ1D-wP-urDXGY,Mapa03_QUOTA.pdf,PDF,GEO,DOCUMENTOS,DESCONHECIDO,DESCARTE,pdf
17fSIzkjsuGuQD0-FiFAhsx9ScQL14P1O,Mapa03_QUOTA_dba223.pdf,PDF,GEO,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1Pxrlx3qN34P4lX7rPOxbV5P24dmhmXNq,Mapa04_GARAGEM.pdf,PDF,GEO,DOCUMENTOS,DESCONHECIDO,DESCARTE,pdf
1chUp_LcL0EypONxz0ys3Xo_7g8lhgqcH,Mapa1_ZONAS_com_perimetros_vetados.pdf,PDF,GEO,DOCUMENTOS,DESCONHECIDO,DESCARTE,pdf
1dE4MqJyW2QytAuTrG3munVxyLmiiQoVQ,Mapa1_ZONAS_com_perimetros_vetados_b02aa0.pdf,PDF,GEO,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1FMotgDQwQl7F8bAy8UZNwTM3jhQqX03i,Mapa_1___Perimetros_das_Zonas_exceto_ZEPEC.pdf,PDF,GEO,DOCUMENTOS,DESCONHECIDO,DESCARTE,pdf
1mjkpntz_t25WThNEeMitYtRPrjIytvyn,Mapa_1___Perimetros_das_Zonas_exceto_ZEPEC_42862b.pdf,PDF,GEO,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1CCrUDjV86k9xX3fLXLPSrVwHANxffmqg,Mapas 1 a 9.pdf,PDF,GEO,DOCUMENTOS,DESCONHECIDO,DESCARTE,pdf
1BnMCZuKCcFgYqdLHztWx8Nyqmh_X2Gdp,Resolucao 07-23_Mancha dos Bombeiros_MAPA (1).pdf,PDF,GEO,01A_BRONZE_OFICIAL,DESCONHECIDO,DESCARTE,pdf
1fhQygtCEYb44QKkNFEe-7rhSOOg0i_o-,Resolucao 07-23_Mancha dos Bombeiros_MAPA (2).pdf,PDF,GEO,01A_BRONZE_OFICIAL,DESCONHECIDO,DESCARTE,pdf
1Q13oEPBYBrYc4QmvSMPY_cVWauFHYu8_,Resolucao 07-23_Mancha dos Bombeiros_MAPA.pdf,PDF,GEO,01A_BRONZE_OFICIAL,DESCONHECIDO,SO_IDEIA,pdf
12Da9qPFMwwYzP9rCrAQ1DM_rEDaHa0Gp,Resolucao 07-23_Mancha dos Bombeiros_MAPA_f69d29.pdf,PDF,GEO,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1DZ64TWvCKy6P06wST1uZxPP4DKgft40_,re1219aptconjuntovilasoperariasmigliarimapa2_1567624270_197c97.pdf,PDF,GEO,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1ZaF-RWjfvsCFCChVQmQMZclY_-d2khDJ,re1219aptconjuntovilasoperariasmigliarimapa3_1567624297_f16cdf.pdf,PDF,GEO,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1ksghZnbUAuF0dLgJanetI-JdDv1Vv2NU,RESOLUÇÃO SECRETARIA MUNICIPAL DE CULTURA - SMC_CONPRESP Nº 22 DE 13 DE DEZEMBRO DE 2002 « Catálogo de Legislação Municipal (1).pdf,JURISPRUDENCIA,GOVERNANCA,01A_BRONZE_OFICIAL,OFICIAL,DESCARTE,pdf
1HDRjl3cL0VAJVPVFvRRDYFFtE38d-3ZU,RESOLUÇÃO SECRETARIA MUNICIPAL DE CULTURA - SMC_CONPRESP Nº 22 DE 13 DE DEZEMBRO DE 2002 « Catálogo de Legislação Municipal.pdf,JURISPRUDENCIA,GOVERNANCA,01A_BRONZE_OFICIAL,OFICIAL,DESCARTE,pdf
1sDFmBlD3_45ZS15CjJuEfQRbHKkZufIW,INSTRUÇÃO NORMATIVA SECRETARIA MUNICIPAL DE LICENCIAMENTO - SEL Nº 6 DE 4 DE DEZEMBRO DE 2020 « Catálogo de Legislação Municipal (1).pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,DESCARTE,pdf
1lbA3F9OCvHywFW2qpxe9FIFpqVk7W1IK,INSTRUÇÃO NORMATIVA SECRETARIA MUNICIPAL DE LICENCIAMENTO - SEL Nº 6 DE 4 DE DEZEMBRO DE 2020 « Catálogo de Legislação Municipal.pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,SO_IDEIA,pdf
1uPp7SKq3jDOduzSFGP_Hl7VprJY83gJv,INSTRUÇÃO NORMATIVA SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL Nº 1 DE 16 DE OUTUBRO DE 2024 « Catálogo de Legislação Municipal (1).pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,DESCARTE,pdf
1Ed54Qobkwcj_eYrhyvPIt5ALaUl9UQAK,INSTRUÇÃO NORMATIVA SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL Nº 1 DE 16 DE OUTUBRO DE 2024 « Catálogo de Legislação Municipal.pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,SO_IDEIA,pdf
1dR8GcyHud1aVOxnC19HOtniFfsKqDxvE,INSTRUÇÃO NORMATIVA SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL Nº 1 DE 16 DE OUTUBRO DE 2024 « Catálogo de Legislação Municipal_219d02.pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
147Lv-dwiaBusIMFN9T02xdUicuqbVGZv,INSTRUÇÃO NORMATIVA SF_SUREM Nº 10 DE 4 DE DEZEMBRO DE 2019 « Catálogo de Legislação Municipal.pdf,PDF,GOVERNANCA,Documentos Novos,DESCONHECIDO,SO_IDEIA,pdf
12gSA1BgD1iDAjAeu6-OamVBphnmabNTy,INSTRUÇÃO NORMATIVA SF_SUREM Nº 14 DE 18 DE DEZEMBRO DE 2020 « Catálogo de Legislação Municipal.pdf,PDF,GOVERNANCA,Documentos Novos,DESCONHECIDO,SO_IDEIA,pdf
1dmUwCwv5xyowaEShYV3pPNa4yCksHHIN,INSTRUÇÃO NORMATIVA SF_SUREM Nº 2 DE 10 DE MARÇO DE 2020 « Catálogo de Legislação Municipal.pdf,PDF,GOVERNANCA,Documentos Novos,DESCONHECIDO,SO_IDEIA,pdf
1iE2rOLazlp6o2rmSB-cnWhQ1xSn2SIe2,Novo Relatorio SITE 2021 (1).pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1NOG3snqX5qoJ_8LnHtMWqvYz2tl4kSnc,Novo Relatorio SITE 2021_1ae156.pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1wN7nr3gTGCzOCN4bEWmEserGRsq3PlGv,Novo Relatorio SITE 2021_2ca56f.pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1Nh7g69Hu3BEjBJSAax5PmDgOpBjMKpsC,Novo Relatorio SITE 2021_ea817d.pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1zyO3FrCqDKHBhqB5QYwdCck3ftvaaKB6,RESOLUÇÃO SECRETARIA MUNICIPAL DE DESENVOLVIMENTO URBANO - SMDU_CTLU Nº 12 DE 17 DE DEZEMBRO DE 2020 « Catálogo de Legislação Municipal (1).pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1RnqCQ_np94VrgQoWk5VyST-mc4s444Fn,RESOLUÇÃO SECRETARIA MUNICIPAL DE DESENVOLVIMENTO URBANO - SMDU_CTLU Nº 12 DE 17 DE DEZEMBRO DE 2020 « Catálogo de Legislação Municipal.pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,SO_IDEIA,pdf
1_U-Ds3aE69YUDdaUvRsjTeusZExxG5T1,RESOLUÇÃO SECRETARIA MUNICIPAL DE DESENVOLVIMENTO URBANO - SMDU_CTLU Nº 12 DE 17 DE DEZEMBRO DE 2020 « Catálogo de Legislação Municipal_7f7860.pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1K2mb-Q4aKAWRCEpqK-_2Fpn1TgcA7fv8,RESOLUÇÃO SECRETARIA MUNICIPAL DE DESENVOLVIMENTO URBANO - SMDU_CTLU Nº 12 DE 17 DE DEZEMBRO DE 2020 « Catálogo de Legislação Municipal_c72b55.pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1jiCV_7fpfFaBi38ROptvtqKwrawu0DL7,RESOLUÇÃO SECRETARIA MUNICIPAL DE LICENCIAMENTO - SEL_CEUSO Nº 139 DE 27 DE ABRIL DE 2020 « Catálogo de Legislação Municipal (1).pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1GANQgvV2cHDwpxCQX7wIxI_SOu9_Gkr0,RESOLUÇÃO SECRETARIA MUNICIPAL DE LICENCIAMENTO - SEL_CEUSO Nº 139 DE 27 DE ABRIL DE 2020 « Catálogo de Legislação Municipal (1)_9ea76b.pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1Rw3d8LI8iEfNiTSdJspZs8SSHh-zUIeY,RESOLUÇÃO SECRETARIA MUNICIPAL DE LICENCIAMENTO - SEL_CEUSO Nº 139 DE 27 DE ABRIL DE 2020 « Catálogo de Legislação Municipal (2).pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,DESCARTE,pdf
12WNPJo16sRn68lzdoCu7TXWtjP7AdlnS,RESOLUÇÃO SECRETARIA MUNICIPAL DE LICENCIAMENTO - SEL_CEUSO Nº 139 DE 27 DE ABRIL DE 2020 « Catálogo de Legislação Municipal.pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,SO_IDEIA,pdf
1yqzdVdt6ZF8VHWJDzjr4ZtW_pjjpUnX2,RESOLUÇÃO SECRETARIA MUNICIPAL DE LICENCIAMENTO - SEL_CEUSO Nº 139 DE 27 DE ABRIL DE 2020 « Catálogo de Legislação Municipal_3dd91c.pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1bn-sqNLqPeUAdqxcCPrEsIabObCoXVjo,RESOLUÇÃO SECRETARIA MUNICIPAL DE LICENCIAMENTO - SEL_CEUSO Nº 139 DE 27 DE ABRIL DE 2020 « Catálogo de Legislação Municipal_868361.pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1HD-w_51zvNIWtttjlIzH0pdY_BLrDH14,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CAEHIS Nº 2 DE 2 DE SETEMBRO DE 2021 « Catálogo de Legislação Municipal (1).pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,DESCARTE,pdf
1QC0R7psFewjOe1lJ7shPd7ppQymP3z0M,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CAEHIS Nº 2 DE 2 DE SETEMBRO DE 2021 « Catálogo de Legislação Municipal.pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,SO_IDEIA,pdf
1tFgm7cUWagU4OVneZuIpSMEZCKp0i8rJ,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CAEHIS Nº 3 DE 7 DE OUTUBRO DE 2021 « Catálogo de Legislação Municipal (1).pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,DESCARTE,pdf
1Yp-jO4Y2_HO4URJfyMjwuYpO_pu11a71,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CAEHIS Nº 3 DE 7 DE OUTUBRO DE 2021 « Catálogo de Legislação Municipal.pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,SO_IDEIA,pdf
1VB6Mknlw6eA4jTDfTjDrJs3n6EFymxpZ,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 138 DE 14 DE JUNHO DE 2021 « Catálogo de Legislação Municipal (1).pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1zOHF-IszBgyPIRSE0BxYOPgrbgCQALSj,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 138 DE 14 DE JUNHO DE 2021 « Catálogo de Legislação Municipal (2).pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,DESCARTE,pdf
1qCq1vmEHacyYp7m16QLB6nHPHiiQ1KZ6,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 138 DE 14 DE JUNHO DE 2021 « Catálogo de Legislação Municipal.pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,SO_IDEIA,pdf
1voQ8eGE-yNnSzOXNkv4OMfjz8P_E2878,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 138 DE 14 DE JUNHO DE 2021 « Catálogo de Legislação Municipal_6060be.pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
11lDRyoSSOEFLlOj4g0FdBKmg8LNVukr3,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 141 DE 8 DE FEVEREIRO DE 2021 « Catálogo de Legislação Municipal (1).pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1Cn5CtnoUnyFkU9DARKfwTsdYbnHUD9Q5,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 141 DE 8 DE FEVEREIRO DE 2021 « Catálogo de Legislação Municipal.pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,SO_IDEIA,pdf
1JZjRCVFGxbstUbi6QvfWEmvqpe5iwfeA,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 141 DE 8 DE FEVEREIRO DE 2021 « Catálogo de Legislação Municipal_050415.pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1QTcJTgIo9KKdJwm1_UbHSJtGZbcqZqFo,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 146 DE 27 DE JANEIRO DE 2022 « Catálogo de Legislação Municipal (1).pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,DESCARTE,pdf
1fOkbGiWLQQCUwjU5ktLa6ug4MPE7_I7Q,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 146 DE 27 DE JANEIRO DE 2022 « Catálogo de Legislação Municipal (2).pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,DESCARTE,pdf
1bvTBMyYcByfwVZ0Jf2XH6p_M7Jx3MEvT,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 146 DE 27 DE JANEIRO DE 2022 « Catálogo de Legislação Municipal.pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,SO_IDEIA,pdf
1gl428GeNVM8YFoQcuqdCbfqK59XuxZKN,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 146 DE 27 DE JANEIRO DE 2022 « Catálogo de Legislação Municipal_68c0af.pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
123_5cibUJGqm6qStk93si9XGSAzQi_oA,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 146 DE 27 DE JANEIRO DE 2022 « Catálogo de Legislação Municipal_6bbd40.pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1f5dcd0-S-QIglsmNBA4Zhn5ozdGv0Ux_,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 150 DE 22 DE AGOSTO DE 2022 « Catálogo de Legislação Municipal (1).pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1TAFUyUyK97BvuM6gAiaS1jR2O9RLThRe,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 150 DE 22 DE AGOSTO DE 2022 « Catálogo de Legislação Municipal (2).pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,DESCARTE,pdf
1K8C_sI2Mi9NMvTjy3pmW5FvCI7-hpcDn,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 150 DE 22 DE AGOSTO DE 2022 « Catálogo de Legislação Municipal.pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,SO_IDEIA,pdf
1fDA8IrARuyMlpRS4lBJqY3EGjzoPWAol,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 150 DE 22 DE AGOSTO DE 2022 « Catálogo de Legislação Municipal_738071.pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
18vAboTNL8A_CDv-5aOF7hZW7pkYeDmWJ,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CEUSO Nº 150 DE 22 DE AGOSTO DE 2022 « Catálogo de Legislação Municipal_fa829e.pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1Wiykv-l52qemhahf_zRx_cJCuczlF6OL,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CTLU Nº 1 DE 27 DE FEVEREIRO DE 2023 « Catálogo de Legislação Municipal (1).pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,DESCARTE,pdf
1Zau8EwAGHE1aCagCzMaOyt_IZiCOASdh,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CTLU Nº 1 DE 27 DE FEVEREIRO DE 2023 « Catálogo de Legislação Municipal (2).pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,DESCARTE,pdf
1d-V0wboLE3MrJRKIhGfxmHgfrlVSHrNo,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CTLU Nº 1 DE 27 DE FEVEREIRO DE 2023 « Catálogo de Legislação Municipal.pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,SO_IDEIA,pdf
1AIjWc-tK5guoJUFEwHqlGOUM3_LlZ4hj,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CTLU Nº 1 DE 27 DE FEVEREIRO DE 2023 « Catálogo de Legislação Municipal_48936d.pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1ZATj10Fioal5bHEQ770anJEPmWowU2eh,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CTLU Nº 12 DE 10 DE DEZEMBRO DE 2018 « Catálogo de Legislação Municipal (1).pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1SprROugg6YGZUsvdDxZmBTOpurwMWCqR,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CTLU Nº 12 DE 10 DE DEZEMBRO DE 2018 « Catálogo de Legislação Municipal (2).pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,DESCARTE,pdf
1qiCyJL2it5yWXZAdobbcR1xjxrIrkZUg,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CTLU Nº 12 DE 10 DE DEZEMBRO DE 2018 « Catálogo de Legislação Municipal.pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,SO_IDEIA,pdf
1EG94pf2HtTxBUrggYDYL2OMnBl9GFpK9,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CTLU Nº 12 DE 10 DE DEZEMBRO DE 2018 « Catálogo de Legislação Municipal_1bfd45.pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
12SkZ6AYv6UMhfG5QtaJef9Xujoyswpt_,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CTLU Nº 12 DE 10 DE DEZEMBRO DE 2018 « Catálogo de Legislação Municipal_4d699a.pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1C_kUq78PU1R6sYdtd0H8uc5HnQnlILA_,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CTLU Nº 12 DE 11 DE NOVEMBRO DE 2021 « Catálogo de Legislação Municipal (1).pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,DESCARTE,pdf
10w-6WvXX2Qbybojdt--G3NN0kmhyaekq,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CTLU Nº 12 DE 11 DE NOVEMBRO DE 2021 « Catálogo de Legislação Municipal.pdf,PDF,GOVERNANCA,01A_BRONZE_OFICIAL,DESCONHECIDO,SO_IDEIA,pdf
1W9G-QuvI2HuFd-wDduwrs8uztwFCu6lB,RESOLUÇÃO SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL_CTLU Nº 12 DE 11 DE NOVEMBRO DE 2021 « Catálogo de Legislação Municipal_c82e30.pdf,PDF,GOVERNANCA,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
