drive_id,nome,mime,ext,bytes,created,modified,tema,tipo_artefato,oficialidade,ja_indexado,observacao
1Ubi7bjAQkJTX1OXa8e2JC_20Llad9NcIAVt0Re-YntY,RAG IPTU - Documentacao Faltante (Gap Analysis) e Correcoes,application/vnd.google-apps.document,,4583,2026-06-18T14:20:15.237Z,2026-07-10T01:53:20.730Z,IPTU,CODEX_DOC,NOSSO,NAO,
13KLV94UXuly4Z83A9zQlMoGM3SyauvdfeFM9tU_G_js,lei-federal-6015-1973-etapa-1.tx,application/vnd.google-apps.document,,2813,2026-06-18T16:28:05.809Z,2026-07-10T01:53:19.443Z,JURIDICO,LEI,OFICIAL,NAO,Lei Federal 6.015/1973 (registros publicos)
1LIYQZZeRp1qBPZw7EnZVcK5wJS0WHPOQZ_K5frZnsL0,documento mestre tdc,application/vnd.google-apps.document,,888996,2026-03-16T16:51:17.446Z,2026-07-10T01:53:17.603Z,TDC,CODEX_DOC,NOSSO,NAO,doc grande
1typFWYS7Qeuziog90KdRJb0hQmmfPzTjALpH6CFvn0U,INVENTARIO_DRIVE_POTENCIAL_URBANO,application/vnd.google-apps.spreadsheet,,3649031,2026-06-18T20:48:51.999Z,2026-07-10T01:53:15.680Z,GOVERNANCA,CODEX_DOC,NOSSO,NAO,inventario proprio do Drive
1RZkWlpO7YFTWF5O0pa1RPC-9nvjbyojx-s4W2-zOaPM,tdc 3,application/vnd.google-apps.document,,14747,2025-11-22T15:10:08.740Z,2026-07-10T01:52:12.180Z,TDC,RASCUNHO,NOSSO,NAO,mesmo nome do docx
1_BVIqwE7k_I_LFV2rwG1QVEHuXLx5Idx,tdc 3.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,docx,19297,2025-11-22T15:14:36.976Z,2026-07-10T01:52:10.664Z,TDC,RASCUNHO,NOSSO,NAO,mesmo nome do gdoc
1yEOFP_j0fbJJ0InJY5TLwtVgHEO5BiLL,Compartilhar Analise_CONTRATO_Sirio_prestacao_servicos_TDC.pdf,application/pdf,pdf,766874,2025-12-18T10:23:57.989Z,2026-07-10T01:52:09.308Z,TDC,CODEX_DOC,NOSSO,NAO,analise de contrato (PDF)
1CEdO2f8gj9vcBlGQXqXMmSU5-LzstIGj,Arrumacao Potencial Urbano v2 - 2026-06-19T00-22.csv,text/csv,csv,117686,2026-06-19T00:32:23.689Z,2026-07-10T01:52:07.722Z,GOVERNANCA,CODEX_DOC,NOSSO,NAO,export de arrumacao/inventario
1Zrwm5Co_--hqbCYlxvvQSiq9AozrsCVD,amostralistaprospeccao.csv,text/csv,csv,5524,2026-07-01T20:14:39.421Z,2026-07-10T01:52:06.311Z,TDC,TABELA_DADO,NOSSO,NAO,lista comercial de prospeccao
1C_H4j1e8aVC9oA4HgRJHxctrRElK2fH0,PotencialUrbano_ListaProspeccaoZEPEC.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,203287,2026-07-01T20:15:04.277Z,2026-07-10T01:52:04.690Z,TDC,PLANILHA,NOSSO,NAO,prospeccao ZEPEC (comercial)
1c5Qg6HePC5heG84ShVM2iTT3NRCXU5PuLoledTDV38Y,POTENCIAL URBANO,application/vnd.google-apps.spreadsheet,,76683,2026-07-01T20:14:23.793Z,2026-07-10T01:52:02.987Z,GOVERNANCA,PLANILHA,NOSSO,NAO,
1snUqRpcVLqkY-yrcxmUIuJaBmkvrtWDQ5q9wiOCwuDU,LEIA-ME - pasta Potencial Urbano - Drive do portfolio (guardiao: Escritorio do MOU),application/vnd.google-apps.document,,1024,2026-07-09T19:42:31.424Z,2026-07-09T19:42:32.497Z,GOVERNANCA,CODEX_DOC,NOSSO,NAO,readme da pasta
1CTcvZYsfUHFYh9VmSR6kHUzKo8I_oaNq,Potencial Urbano,application/vnd.google-apps.shortcut,,,2026-07-10T20:55:18.184Z,2026-07-10T20:55:18.184Z,GOVERNANCA,OUTRO,DESCONHECIDO,NAO,ATALHO (shortcut)
1r0n4LIWrjsgquJSVrTm0x7x4Wg8sJQ6S,Documentacao IPTU,application/vnd.google-apps.shortcut,,,2026-07-10T20:25:10.361Z,2026-07-10T20:25:10.361Z,IPTU,OUTRO,DESCONHECIDO,NAO,ATALHO (shortcut)
1Z9TtNzwAGmXppWbF3uOkqxAWU6HKzOIg,Forms TDC Preliminar,application/vnd.google-apps.shortcut,,,2026-07-10T20:25:08.909Z,2026-07-10T20:25:08.909Z,TDC,OUTRO,DESCONHECIDO,NAO,ATALHO (shortcut)
1FKL1kF8S6iFZ5jyA4FKI2wcTeID2uzT6,qqqqqqqqqq_preliminar_tdc,application/vnd.google-apps.shortcut,,,2026-07-10T20:25:07.625Z,2026-07-10T20:25:07.625Z,TDC,OUTRO,DESCONHECIDO,NAO,ATALHO; titulo lixo (qqqq)
1jsY8P_xpZSWk_AKlJK9hWLd4pwIR5iQ9,"Rua Roberto Simonsen, 88_preliminar_IPTU",application/vnd.google-apps.shortcut,,,2026-07-10T20:25:06.249Z,2026-07-10T20:25:06.249Z,IPTU,OUTRO,DESCONHECIDO,NAO,ATALHO (shortcut)
1xuJPcadnmByIAhN1BD-xIajbyWj4MLkV,PDF | Cartao CNPJ (File responses),application/vnd.google-apps.shortcut,,,2026-07-10T20:25:04.991Z,2026-07-10T20:25:04.991Z,GOVERNANCA,OUTRO,DESCONHECIDO,NAO,ATALHO (shortcut)
