drive_id,path,nome,mime,ext,bytes,created,modified,tema,tipo_artefato,oficialidade,ja_indexado,observacao
1ec1UDzpF0cxbRZO51O5UgyxPs-RJpaty,03 — Tabelas & Engines,ANEXOS_DO_PL_586_23___SEM_O_MAPA.csv,text/csv,csv,31825,2026-06-18T19:23:34.173Z,2026-03-02T04:10:22Z,GEO,TABELA_DADO,DESCONHECIDO,SIM,
1287KOzQ3Rk4pTaNz0WV2TIBlB2z2JgeL,03 — Tabelas & Engines,Ano_2023_SISSEL.xls,application/vnd.ms-excel,xls,986624,2026-06-18T19:23:34.450Z,2026-03-04T22:27:46Z,OUTRO,PLANILHA,OFICIAL,SIM,
1M5dHel-4gertsfFFSfGdJBy9930nhl8B,03 — Tabelas & Engines,Ano_2024_AD.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,230001,2026-06-18T19:23:34.220Z,2026-03-04T22:28:42Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1y0P03fNeOUBRr2fefGpp9p0oI1B25nlh,03 — Tabelas & Engines,Ano_2025_AD_12.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,236997,2026-06-18T19:23:34.201Z,2026-03-04T22:28:46Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1lm_QWG6gZkj1WNbjzEUmun3D4FPDW_QX,03 — Tabelas & Engines,Ano_2026_AD_01.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,85329,2026-06-18T19:23:34.247Z,2026-03-04T22:28:50Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
17AgTa3aSavPSZyhkzq8cUClOHpYamT94,03 — Tabelas & Engines,ANUAL - 2022.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,614006,2026-06-18T19:23:34.292Z,2026-03-04T22:27:41Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1RmRzGGnPDpPaRG4cQ6wLXBA0DMxDQo1Z,03 — Tabelas & Engines,anual2004.xls,application/vnd.ms-excel,xls,1029120,2026-06-18T19:23:34.588Z,2026-03-04T22:26:23Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1fZe01n7QjrM36Wa06djuAPbAidgXHXfd,03 — Tabelas & Engines,anual2005.xls,application/vnd.ms-excel,xls,829440,2026-06-18T19:23:34.516Z,2026-03-04T22:26:28Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1c6egKNeZwTaN5rduLzaODz8ey_h_JjzI,03 — Tabelas & Engines,anual2006.xls,application/vnd.ms-excel,xls,844800,2026-06-18T19:23:34.451Z,2026-03-04T22:26:32Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1PuEKIOe7OnYYjFgUUE_eGwbPA7KevlNH,03 — Tabelas & Engines,anual2007.xls,application/vnd.ms-excel,xls,762880,2026-06-18T19:23:34.548Z,2026-03-04T22:26:36Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1hkBiyXW2Av0cW05QXrGcynMGBjYWC5s5,03 — Tabelas & Engines,anual2008.xls,application/vnd.ms-excel,xls,803328,2026-06-18T19:23:36.582Z,2026-03-04T22:26:42Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1g5LBELn83QcZGaq0TJHuhcucIp0TdfVu,03 — Tabelas & Engines,anual2009.xls,application/vnd.ms-excel,xls,756224,2026-06-18T19:23:36.564Z,2026-03-04T22:26:46Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1zijXtTdvVr7l8drJ9iwy-1ZL8n7-0faW,03 — Tabelas & Engines,anual2010.xls,application/vnd.ms-excel,xls,790016,2026-06-18T19:23:36.661Z,2026-03-04T22:26:50Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
11bG1XBxFWffwsxn-OQf_4CShRkyc8obp,03 — Tabelas & Engines,Anual2011.xls,application/vnd.ms-excel,xls,1122304,2026-06-18T19:34:29.158Z,2026-03-04T22:26:55Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1PqtTPUd54nUpYcDZ0ivGodLURvMLHe4u,03 — Tabelas & Engines,Anual2019.xls,application/vnd.ms-excel,xls,2320384,2026-06-18T19:34:31.556Z,2026-03-04T22:27:28Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
14Q1dsf_VemONHFz3PR4h42urE8Jx7sfq,03 — Tabelas & Engines,Anual2020_ate_dezembro.xls,application/vnd.ms-excel,xls,1534976,2026-06-18T19:34:33.974Z,2026-03-04T22:27:32Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1JweqKeggHG5fIUOpcfBuRIhL8DrT5sM3,03 — Tabelas & Engines,anual_2000.xls,application/vnd.ms-excel,xls,1698304,2026-06-18T19:34:03.012Z,2026-03-04T22:26:04Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1utqm7zOcTzT-lDJqqSvKV3qLvFG-4Tyf,03 — Tabelas & Engines,anual_2001.xls,application/vnd.ms-excel,xls,1783296,2026-06-18T19:34:05.343Z,2026-03-04T22:26:10Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1JIuk1-Fdl_tEGJaS8MxtcgFM4JrhR-X1,03 — Tabelas & Engines,anual_2002.xls,application/vnd.ms-excel,xls,1483776,2026-06-18T19:34:07.510Z,2026-03-04T22:26:14Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
11jmQaAP7ukKvm6r15PqxkUM1GlkgqL9I,03 — Tabelas & Engines,Anual_2003.xls,application/vnd.ms-excel,xls,1184256,2026-06-18T19:34:10.340Z,2026-03-04T22:26:19Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1X8hkpjN_oGIcpnhB1RzSDQOgeoUUutJW,03 — Tabelas & Engines,anual_2012.xls,application/vnd.ms-excel,xls,1028096,2026-06-18T19:23:34.417Z,2026-03-04T22:26:59Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1Q_j7KiKozBsJXuKa8pU74B4MpTtP9h3q,03 — Tabelas & Engines,anual_2016 (1).xls,application/vnd.ms-excel,xls,2331136,2026-06-18T19:34:17.780Z,2026-03-04T22:27:16Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,cópia numerada
1M6Z9xkyr_z_iDU4gNeRfW51SIolHIwnw,03 — Tabelas & Engines,anual_2016.xls,application/vnd.ms-excel,xls,2331136,2026-06-18T19:34:19.922Z,2026-03-04T22:25:17Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1w4P8ca1zu8wrivSY4WuETThqKJK8GnVU,03 — Tabelas & Engines,Anual_2017_dezembro.xls,application/vnd.ms-excel,xls,2218496,2026-06-18T19:34:22.367Z,2026-03-04T22:27:20Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1Yqq3feMF-Sw35a78-KTMWGKNyaDKnXQK,03 — Tabelas & Engines,Anual_2018.xls,application/vnd.ms-excel,xls,1748480,2026-06-18T19:34:24.576Z,2026-03-04T22:27:24Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1BevQmC6kLO50TmBV8ObfNvSVgRSgeeRA,03 — Tabelas & Engines,anual_2021_ate_dezembro.xls,application/vnd.ms-excel,xls,1241088,2026-06-18T19:34:26.821Z,2026-03-04T22:27:36Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1FKfkkoj130-dS0Dei6ZXYwMEufGIualo,03 — Tabelas & Engines,Análise de Omissões da Legislação - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.csv,text/csv,csv,2297,2026-06-18T19:23:36.310Z,2026-03-02T04:10:54Z,OUTRO,TABELA_DADO,OFICIAL,SIM,
1ewgYMYHetSrNRAo5zg_8mCFEi5T8AdTK,03 — Tabelas & Engines,Aprova Digital_dezembro2020.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,8601,2026-06-18T19:23:36.450Z,2026-03-04T22:28:56Z,OUTRO,PLANILHA,OFICIAL,SIM,
1_h6ZeNoyM3WxQPiriQSzCiSG7tXsFXkg,03 — Tabelas & Engines,area_potencial_e_suspeita_de_contaminacao.csv,text/csv,csv,956264,2026-06-18T19:23:36.639Z,2026-03-08T04:17:41Z,GEO,TABELA_DADO,OFICIAL,SIM,
1_EZO1mNf6JiTW989k_Jd_n0P-J9QCSe0,03 — Tabelas & Engines,area_potencial_e_suspeita_de_contaminacao.ods,application/vnd.oasis.opendocument.spreadsheet,ods,420097,2026-06-18T19:23:36.445Z,2026-03-08T04:17:50Z,GEO,PLANILHA,OFICIAL,SIM,
1JWPBp9zd-u9zkwQkOqcKjeth25KQEQey,03 — Tabelas & Engines,area_potencial_e_suspeita_de_contaminacao.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,699694,2026-06-18T19:23:36.629Z,2026-03-08T04:17:57Z,GEO,PLANILHA,OFICIAL,SIM,
1f_LKhRmvMJK8HcJaZEJygmZ71wznDVCE,03 — Tabelas & Engines,Ativação de Zonas de Estruturação (ZEUP e ZEMP) por Particular - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.csv,text/csv,csv,1542,2026-06-18T19:23:36.526Z,2026-03-02T04:10:59Z,OUTRO,TABELA_DADO,OFICIAL,SIM,
1Q499wCFws3H1d3w0jY1PFYOkCD5PjieF,03 — Tabelas & Engines,Atualizacacao_Q14_anoref2025.csv,text/csv,csv,5299450,2026-06-18T19:34:36.440Z,2026-03-02T04:11:20Z,OUTRO,TABELA_DADO,DESCONHECIDO,SIM,
1W9_8qbzU89cgwhaLbWH1h63OsCtdX3AI,03 — Tabelas & Engines,Auditoria TDC São Paulo_ Memorial de Fundamentação Estratégica.csv,text/csv,csv,1092,2026-06-18T19:18:44.410Z,2026-03-02T04:11:26Z,TDC,AUDITORIA,NOSSO,SIM,
1JM7spa4En4KmicoL5_HVVXp-E7ZNgs6T,03 — Tabelas & Engines,AUDITORIA_1_BASE_ORIGINAL_COMPLETA.csv,text/csv,csv,4,2026-06-18T19:18:36.234Z,2026-03-08T00:47:50Z,GOVERNANCA,AUDITORIA,NOSSO,SIM,
1k-zbLK3o1Oo41bfPVDJ1SsDoxDld_cPZ,03 — Tabelas & Engines,AUDITORIA_2_MOTOR_1_ATUAL.csv,text/csv,csv,4,2026-06-18T19:18:36.116Z,2026-03-08T00:47:57Z,GOVERNANCA,AUDITORIA,NOSSO,SIM,
1AahH3kMHd509-Nar799P3fBZZAmZt_mO,03 — Tabelas & Engines,biosampa_geosampa_apas.ods,application/vnd.oasis.opendocument.spreadsheet,ods,3613,2026-06-18T19:23:38.661Z,2026-03-08T04:30:20Z,GEO,PLANILHA,OFICIAL,SIM,
18HfjwCgEDMGC8dKKsaY8EiQJzg7Q_QKC,03 — Tabelas & Engines,catalogo_oficiais_para_preenchimento_20260307_223820.csv,text/csv,csv,67898,2026-06-18T19:23:38.660Z,2026-03-07T22:38:28Z,OUTRO,TABELA_DADO,OFICIAL,SIM,
1shDJGqs3hofi6ovShiMK9qTvckZeDA0t,03 — Tabelas & Engines,Certidão de Uso e Ocupação do Solo - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.csv,text/csv,csv,3070,2026-06-18T19:23:45.103Z,2026-03-02T04:11:34Z,JURIDICO,TABELA_DADO,OFICIAL,SIM,
1ZyjtHHUDe4Tomb6WZ1pDlNmbgbwFm5WE,03 — Tabelas & Engines,D57536.csv,text/csv,csv,689,2026-06-18T19:23:38.678Z,2026-03-02T04:11:41Z,JURIDICO,TABELA_DADO,OFICIAL,SIM,
18aS4wR54NxmbVLWpY88vZnXHA8fX2qf-,03 — Tabelas & Engines,ddf-01.26.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,50677,2026-06-18T19:23:38.738Z,2026-03-08T04:35:54Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1L_gwlWQmbWxb8MG4R18lfoeaSMtK6GyM,03 — Tabelas & Engines,ddf-12.25.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,71514,2026-06-18T19:23:38.664Z,2026-03-08T04:36:07Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1KVXSmKIKiucjF2Q6_E1i0zPnm9LvkCPl,03 — Tabelas & Engines,Declaração de Potencial Construtivo Passível de Transferência - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.csv,text/csv,csv,2439,2026-06-18T19:23:45.053Z,2026-03-02T04:11:47Z,TDC,TABELA_DADO,OFICIAL,SIM,
1gU_mxinFX8t3wbUCl__AmlPpcrf5dL2O,03 — Tabelas & Engines,DEEP_SCAN_BRONZE_ORIGINAIS.csv,text/csv,csv,62628,2026-06-18T19:18:39.950Z,2026-03-08T01:25:31Z,OUTRO,TABELA_DADO,NOSSO,SIM,
1_Hj4_c5oQXHfQW9_cC8NRN3fjfzsKkOF,03 — Tabelas & Engines,DEEP_SCAN_SILVER_MOTOR1.csv,text/csv,csv,33478,2026-06-18T19:18:39.937Z,2026-03-08T01:25:39Z,OUTRO,TABELA_DADO,NOSSO,SIM,
1d_WEkDRy-B_n-pw163mG_19RlFopLNki,03 — Tabelas & Engines,dic_area_potencial_e_suspeita_de_contaminacao-arquivo.csv,text/csv,csv,352,2026-06-18T19:23:38.619Z,2026-03-08T04:16:53Z,GEO,TABELA_DADO,OFICIAL,SIM,
1XNq8sd_z0medUQAtfridFsH9CXO1qdGZ,03 — Tabelas & Engines,dic_area_potencial_e_suspeita_de_contaminacao-variaveis.csv,text/csv,csv,1569,2026-06-18T19:23:38.595Z,2026-03-08T04:17:01Z,GEO,TABELA_DADO,OFICIAL,SIM,
1X1-ArwtElMTZeWpE8tdzoOD8C9qwecGf,03 — Tabelas & Engines,dic_area_potencial_e_suspeita_de_contaminacao.ods,application/vnd.oasis.opendocument.spreadsheet,ods,5243,2026-06-18T19:23:38.647Z,2026-03-08T04:16:47Z,GEO,PLANILHA,OFICIAL,SIM,
1wZBUpFfY4rAk1dC8bd4UaeZIaVI1csXz,03 — Tabelas & Engines,dic_area_potencial_e_suspeita_de_contaminacao.xls,application/vnd.ms-excel,xls,47104,2026-06-18T19:23:38.648Z,2026-03-08T04:16:35Z,GEO,PLANILHA,OFICIAL,SIM,
1J09_7HER_DbfPYWqAgWHijTrZovKH6iZ,03 — Tabelas & Engines,dicionario_geosampa_apas.ods,application/vnd.oasis.opendocument.spreadsheet,ods,5255,2026-06-18T19:23:38.606Z,2026-03-08T04:29:46Z,GEO,PLANILHA,OFICIAL,SIM,
178GlSInuP-XBcgFZLArq9rmROZN5VrRI,03 — Tabelas & Engines,dicionario_geosampa_apas.xls,application/vnd.ms-excel,xls,47104,2026-06-18T19:23:38.752Z,2026-03-08T04:29:42Z,GEO,PLANILHA,OFICIAL,SIM,
1ovv4M6hvkS7eH7d4T6IV7jBw9uqqn8H5,03 — Tabelas & Engines,dicionario_geosampa_apas_arquivo.csv,text/csv,csv,310,2026-06-18T19:23:38.670Z,2026-03-08T04:29:53Z,GEO,TABELA_DADO,OFICIAL,SIM,
1GnOw3tsxWJcpET0pKtS0sZpcsK2bu-S4,03 — Tabelas & Engines,dicionario_geosampa_apas_variaveis.csv,text/csv,csv,1549,2026-06-18T19:23:38.652Z,2026-03-08T04:30:03Z,GEO,TABELA_DADO,OFICIAL,SIM,
1W4NKKz4HlioobdlHhekjzpJJgFkMJOph,03 — Tabelas & Engines,DIVERSOS_IA.csv,text/csv,csv,32676280,2026-06-18T19:18:38.570Z,2026-03-02T03:44:20Z,GEO,TABELA_DADO,DESCONHECIDO,SIM,versão
17jxDexBvXStSVCsu3T5wYDcer-JHAcPz,03 — Tabelas & Engines,documento_final_ia.pdf,application/pdf,pdf,34017047,2026-06-18T19:18:45.237Z,2026-03-02T03:53:00Z,OUTRO,PDF,DESCONHECIDO,SIM,
1uRWg7wA4KuppJ1TSdEwRmV3H06fTXlnj,03 — Tabelas & Engines,empresas.csv,text/csv,csv,2269763986,2026-06-18T19:29:15.583Z,2020-11-03T20:14:58Z,OUTRO,TABELA_DADO,ADQUIRIDO,SIM,GIGANTE >100MB
1-LRNyTwNt4Ar5KLd2lq0TxDKaA8D5Vmz,03 — Tabelas & Engines,Enquadramento de Atividade CNAE - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.csv,text/csv,csv,2450,2026-06-18T19:23:41.880Z,2026-03-02T04:11:56Z,OUTRO,TABELA_DADO,OFICIAL,SIM,
1rN_fsOefqdvDU8icHG-ptHGMemzX72NA,03 — Tabelas & Engines,fila_tdc_5porcento_fundurb_dez_2025-pdf.csv,text/csv,csv,3655,2026-06-18T19:23:41.902Z,2026-03-02T04:15:34Z,TDC,TABELA_DADO,OFICIAL,SIM,
14FmpnvQGUUdg8DWhAW58pLDUxaZIdGLw,03 — Tabelas & Engines,geoportal_area_contaminada_reabilitada_svma.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,78472,2026-06-18T19:23:41.955Z,2026-03-08T04:32:00Z,GEO,PLANILHA,OFICIAL,SIM,
1fJflpi0oVmGAEvQjD9eebUwJcrOAFy2H,03 — Tabelas & Engines,GUIAS DE ITBI PAGAS (1).xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,3071806,2026-06-18T19:34:49.964Z,2026-03-04T12:58:03Z,OUTRO,PLANILHA,OFICIAL,SIM,cópia numerada
1IvF7JkpiUWwGMZKaYPM9876ASF_YgjMt,03 — Tabelas & Engines,GUIAS DE ITBI PAGAS (28012026) XLS.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,46666755,2026-06-18T19:34:54.714Z,2026-03-04T12:53:02Z,OUTRO,PLANILHA,OFICIAL,SIM,
1ZESc3arRBppUx9HNMdsYDQh8Urnupsrh,03 — Tabelas & Engines,GUIAS-DE-ITBI-PAGAS-2023.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,35347867,2026-06-18T19:35:59.354Z,2026-03-04T12:56:27Z,OUTRO,PLANILHA,OFICIAL,SIM,
1DEzDLix11FtG_1lhKY1qhnXJAu23Nny_,03 — Tabelas & Engines,GUIAS-DE-ITBI-PAGAS-2024.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,32919810,2026-06-18T19:36:03.274Z,2026-03-04T12:53:07Z,OUTRO,PLANILHA,OFICIAL,SIM,
1dd1x5JxHS-JAc4Grsuucn1ly-X1NT9KD,03 — Tabelas & Engines,GUIAS_DE_ITBI_PAGAS_(2019).xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,20591454,2026-06-18T19:34:57.997Z,2026-03-04T12:58:25Z,OUTRO,PLANILHA,OFICIAL,SIM,
1exBLt0dNS6uP604XnXUWGL9Qwtj8idu3,03 — Tabelas & Engines,GUIAS_DE_ITBI_PAGAS_(2020).xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,22212518,2026-06-18T19:35:01.535Z,2026-03-04T12:58:21Z,OUTRO,PLANILHA,OFICIAL,SIM,
