segmento,estado_venda,nome_bem,endereco_mestre,distrito,proprietario,tipo_zepec,esfera,m2_ja_transferido,pcpt_m2,saldo_pcpt_m2,preco_legal_ref_brl,preco_proxy_brl,zona,ca_basico,fi_aplicado,regime_pcpt,qualidade_estimativa,area_terreno_m2,v_outorga_m2_q14,v_outorga_max_q14,pendencia_calculo,status_fundurb,intercorrencia_fundurb,data_ref,sql_mestre
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro de Perdizes / Edificação Na Rua Doutor Cândido Espinheira 850,"Rua Doutor Cândido Espinheira, 850",Barra Funda,,tombado,municipal,,144.00,144.00,218190.96,827602.56,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,120,5747.24,6060.86,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$6060.86/m² (face atual: R$5747.24/m²)",,,2023-08-16,0210140011
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro de Perdizes / Edificação Na Rua Doutor Cândido Espinheira 866,"Rua Doutor Cândido Espinheira, 866",Barra Funda,,tombado,municipal,,333.60,333.60,505475.73,1917279.26,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,278,5747.24,6060.86,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$6060.86/m² (face atual: R$5747.24/m²)",,,2023-08-16,0210140010
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro de Perdizes / Edificação Na Rua Doutor Cândido Espinheira 882,"Rua Doutor Cândido Espinheira, 882",Barra Funda,,tombado,municipal,,,,,,,,,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,225,5747.24,6060.86,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$6060.86/m² (face atual: R$5747.24/m²) | Zona: lote sem sobreposição (sem SQL / lote / fora de zona)",,,2023-08-16,0210140009
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro de Perdizes / Edificação Na Rua Lavradio 53,"Rua Lavradio, 53",Barra Funda,,tombado,municipal,,134.40,134.40,126621.94,460104.96,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,112,3423.40,3768.51,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$3768.51/m² (face atual: R$3423.40/m²)",,,2023-08-16,0200430036
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro de Perdizes / Edificação Na Rua Lavradio 55,"Rua Lavradio, 55",Barra Funda,,tombado,municipal,,102.00,102.00,96097.01,349186.80,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,85,3423.40,3768.51,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$3768.51/m² (face atual: R$3423.40/m²)",,,2023-08-16,0200430035
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro de Perdizes / Edificação Na Rua Lavradio 65,"Rua Lavradio, 65",Barra Funda,,tombado,municipal,,102.00,102.00,96097.01,349186.80,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,85,3423.40,3768.51,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$3768.51/m² (face atual: R$3423.40/m²)",,,2023-08-16,0200430034
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro de Perdizes / Edificação Na Rua Lavradio 71,"Rua Lavradio, 71, 71",Barra Funda,,tombado,municipal,,102.00,102.00,96097.01,349186.80,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,85,3423.40,3768.51,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$3768.51/m² (face atual: R$3423.40/m²)",,,2023-08-16,0200430033
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro de Perdizes / Edificação Na Rua Lavradio 73,"Rua Lavradio, 73",Barra Funda,,tombado,municipal,,122.40,122.40,115316.41,419024.16,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,102,3423.40,3768.51,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$3768.51/m² (face atual: R$3423.40/m²)",,,2023-08-16,0200430032
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro de Perdizes / Edificação Na Rua Melo Palheta 37,"Rua Melo Palheta, 37",Barra Funda,,tombado,municipal,,358.80,358.80,411472.74,1326383.14,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,299,3696.72,4587.21,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$4587.21/m² (face atual: R$3696.72/m²)",,,2023-08-16,0210280001
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro de Perdizes / Edificação Na Rua Turiassu 566,"Rua Turiassu, 566",Barra Funda,,tombado,municipal,,840.00,840.00,1246860.30,4771611.60,ZM,1,1.0,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,840,5680.49,5937.43,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5937.43/m² (face atual: R$5680.49/m²)",,,2023-08-16,0210210044
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro de Perdizes / Edificação Na Rua Turiassu 98,"Rua Turiassu, 98",Barra Funda,,tombado,municipal,,441.60,441.60,738367.35,2809410.62,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,368,6361.89,6688.11,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$6688.11/m² (face atual: R$6361.89/m²)",,,2023-08-16,0200680021
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Conde de São Joaquim, 231",Bela Vista,,tombado,municipal,,175.20,175.20,162688.97,650755.87,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,146,3714.36,3714.36,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0050860059
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Rocha, 370, 372",Bela Vista,,tombado,municipal,,172.80,172.80,231250.03,735645.89,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,144,4257.21,5353.01,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5353.01/m² (face atual: R$4257.21/m²)",,,2002-12-14,0090170802
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Fortaleza, 282, 288",Bela Vista,,tombado,municipal,,309.60,309.60,348225.70,1369896.41,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,258,4424.73,4499.04,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$4499.04/m² (face atual: R$4424.73/m²)",,,2002-12-14,0090220145
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Travessa Manoel José de Magalhães, 48, 155, 2",Bela Vista,,tombado,municipal,,,,,,,,,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,,,,Atc: SQL sem cadastro no IPTU | Zona: lote sem sobreposição (sem SQL / lote / fora de zona),,,2002-12-14,0090170041
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Travessa Manoel José de Magalhães, 42, 155, 1",Bela Vista,,tombado,municipal,,,,,,,,,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,,,,Atc: SQL sem cadastro no IPTU | Zona: lote sem sobreposição (sem SQL / lote / fora de zona),,,2002-12-14,0090170040
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Travessa Manoel José de Magalhães, 62, 155, 4",Bela Vista,,tombado,municipal,,,,,,,,,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,,,,Atc: SQL sem cadastro no IPTU | Zona: lote sem sobreposição (sem SQL / lote / fora de zona),,,2002-12-14,0090170043
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Travessa Manoel José de Magalhães, 52, 155, 3",Bela Vista,,tombado,municipal,,,,,,,,,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,,,,Atc: SQL sem cadastro no IPTU | Zona: lote sem sobreposição (sem SQL / lote / fora de zona),,,2002-12-14,0090170042
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Maria José, 503, 1164",Bela Vista,,tombado,municipal,,217.20,217.20,424170.42,811680.74,ZEIS-5,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,181,3737.02,7811.61,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$7811.61/m² (face atual: R$3737.02/m²)",,,2002-12-14,0090250404
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Arthur Prado, 341",Bela Vista,,tombado,municipal,,,,,,ZEU,1,,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,,,,Atc: SQL sem cadastro no IPTU,,,2002-12-14,0090700000
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Maria José, 79, 81, 87, 89, 95",Bela Vista,,tombado,municipal,,,,,,,,,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,225,4093.47,4323.97,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$4323.97/m² (face atual: R$4093.47/m²) | Zona: lote sem sobreposição (sem SQL / lote / fora de zona)",,,2002-12-14,0090080348
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Avenida Condessa de São Joaquim, 345, 357, 849, 857",Bela Vista,,tombado,municipal,,840.00,840.00,1848073.50,7392294.00,ZEU,1,1.0,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,840,8800.35,8800.35,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0330010133
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Fortaleza, 180",Bela Vista,,tombado,municipal,,,,,,,,,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,,,,Atc: SQL sem cadastro no IPTU | Zona: lote sem sobreposição (sem SQL / lote / fora de zona),,,2002-12-14,0090230033
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Alameda Joaquim Eugênio de Lima, 159",Bela Vista,,tombado,municipal,,600.00,600.00,1451736.00,5292300.00,ZEU,1,1.0,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,600,8820.50,9678.24,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$9678.24/m² (face atual: R$8820.50/m²)",,,2002-12-14,0090511590
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Travessa Manoel José de Magalhães, 42, 155, 1",Bela Vista,,tombado,municipal,,525.60,525.60,703385.52,2305118.66,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,438,4385.69,5353.01,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5353.01/m² (face atual: R$4385.69/m²)",,,2002-12-14,0090170803
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Treze de Maio, 653, 655",Bela Vista,,tombado,municipal,,284.40,284.40,319881.75,1279526.98,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,237,4499.04,4499.04,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0090220155
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Martiniano de Carvalho, 1061",Bela Vista,,tombado,municipal,,730.00,730.00,1592960.38,6371841.50,ZEU,1,1.0,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,730,8728.55,8728.55,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0380020023
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Maestro Cardim, 940, 245, 295, 331",Bela Vista,,tombado,municipal,,5192.80,5192.80,12538132.44,50152529.75,ZEU,1,0.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,25964,9658.09,9658.09,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0380060091
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Maestro Cardim, 769",Bela Vista,,tombado,municipal,,6385.20,6385.20,14665240.03,58660960.10,ZEU,1,0.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,31926,9187.02,9187.02,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0380030061
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Martiniano de Carvalho, 71, 21",Bela Vista,,tombado,municipal,,211.20,211.20,313695.36,1254781.44,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,176,5941.20,5941.20,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0330050025
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Maestro Cardim, 86, 92",Bela Vista,,tombado,municipal,,,,,,ZEU,1,,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,,,,Atc: SQL sem cadastro no IPTU,,,2002-12-14,0330080000
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Martiniano de Carvalho, 269, 271, 277",Bela Vista,,tombado,municipal+estadual,,1131.00,1131.00,1520686.05,5629733.46,ZEU,1,1.0,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,1131,4977.66,5378.20,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5378.20/m² (face atual: R$4977.66/m²)",,,2002-12-14,0330070001
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Humaitá, 77, 10",Bela Vista,,tombado,municipal,,108.00,108.00,160412.40,639882.72,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,90,5924.84,5941.20,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5941.20/m² (face atual: R$5924.84/m²)",,,2002-12-14,0330050055
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Martiniano de Carvalho, 319",Bela Vista,,tombado,municipal+estadual,,534.00,534.00,807948.68,2997058.98,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,445,5612.47,6052.05,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$6052.05/m² (face atual: R$5612.47/m²)",,,2002-12-14,0330080019
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Martiniano de Carvalho, 125",Bela Vista,,tombado,municipal,,370.80,370.80,550749.24,2202996.96,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,309,5941.20,5941.20,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0330050018
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Humaitá, 131, 131",Bela Vista,,tombado,municipal,,300.00,300.00,445590.00,1777452.00,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,250,5924.84,5941.20,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5941.20/m² (face atual: R$5924.84/m²)",,,2002-12-14,0330050046
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Humaitá, 77, 4",Bela Vista,,tombado,municipal,,126.00,126.00,187147.80,746529.84,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,105,5924.84,5941.20,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5941.20/m² (face atual: R$5924.84/m²)",,,2002-12-14,0330050052
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Maestro Cardim, 60, 2B",Bela Vista,,tombado,municipal+estadual,,151.20,151.20,228767.49,773380.44,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,126,5114.95,6052.05,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$6052.05/m² (face atual: R$5114.95/m²)",,,2002-12-14,0330080032
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Maestro Cardim, 60, 3",Bela Vista,,tombado,municipal+estadual,,151.20,151.20,228767.49,773380.44,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,126,5114.95,6052.05,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$6052.05/m² (face atual: R$5114.95/m²)",,,2002-12-14,0330080031
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Monsenhor Passalaqua, 55",Bela Vista,,tombado,municipal+estadual,,234.00,234.00,314624.70,1124690.58,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,195,4806.37,5378.20,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5378.20/m² (face atual: R$4806.37/m²)",,,2002-12-14,0330070015
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Humaitá, 191",Bela Vista,,tombado,municipal,,592.80,592.80,880485.84,3512245.15,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,494,5924.84,5941.20,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5941.20/m² (face atual: R$5924.84/m²)",,,2002-12-14,0330050040
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Monsenhor Passalaqua, 81",Bela Vista,,tombado,municipal+estadual,,97.20,97.20,130690.26,467179.16,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,81,4806.37,5378.20,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5378.20/m² (face atual: R$4806.37/m²)",,,2002-12-14,0330070009
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Humaitá, 137, 139",Bela Vista,,tombado,municipal,,429.60,429.60,638084.88,2545311.26,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,358,5924.84,5941.20,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5941.20/m² (face atual: R$5924.84/m²)",,,2002-12-14,0330050045
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Pedroso, 267",Bela Vista,,tombado,municipal,,618.00,618.00,1369966.95,5380233.84,ZEU,1,1.0,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,618,8705.88,8867.10,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$8867.10/m² (face atual: R$8705.88/m²)",,,2002-12-14,0330100010
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Martiniano de Carvalho, 71, 17",Bela Vista,,tombado,municipal,,214.80,214.80,319042.44,1276169.76,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,179,5941.20,5941.20,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0330050027
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro da Bela Vista,"Rua Martiniano de Carvalho, 71, 19",Bela Vista,,tombado,municipal,,216.00,216.00,320824.80,1283299.20,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,180,5941.20,5941.20,OK (Atc+CAbás+V) — cálculo completo,,,2002-12-14,0330050026
