file_id;nome_arquivo;tema;artefato;oficialidade;identificacao;vigencia;leitura;destino;resumo
1YbLd77kHhAFbyz0hMTMg59qE0A1V1xP-;02-24_-_tombamento_mancha_dos_bombeiros_-_quadro_i_-_pgina_1_1719838684.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 02/2024 Quadro I;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Quadro I imoveis tombados anexo Resolucao CONPRESP 02/2024 Mancha dos Bombeiros
1DARVYHEDkYErwg7GnQUg0gsYTE51hjry;02-25 - Tombamento Ex Officio do Edifício Santo André - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 02/2025;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 02/2025 tombamento ex-officio Edificio Santo Andre
1jeKokg0iyJMq1vCWNvboNRS099FjpwnY;03-22 - Detalhamento da Resolução 22-2002 - para página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 03/2022;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 03/2022 ajusta e detalha Res 22/2002 Bela Vista
1Do8O4OzhaqhregJJ_V0wCf_1Nby9LOAJ;03-23 - RAE da Sede do Antigo Sitio Itaim - MAPAS - Página(1).pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 03/2023 Mapas;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Mapas anexos Resolucao CONPRESP 03/2023 area envoltoria Sitio Itaim
177qvl-MzvDA9H7xzDL3xXKBk_dhLQqZO;03-23 - RAE da Sede do Antigo Sitio Itaim - Página(1).pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 03/2023;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 03/2023 regulamenta area envoltoria Sitio Itaim
1dLYHLjwnlmYDoeTaxZcPAN2Bkk59JtRY;03-24 - Tombamento do Conjunto da Escadaria da Rua Alves Guimarães - Anexos I, II e III - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 03/2024 Anexos;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Anexos I II III Resolucao CONPRESP 03/2024 Escadaria Rua Alves Guimaraes
1scDSTGMazJS-ocmwslR3FYDicMC573CI;03-24 - Tombamento do Conjunto da Escadaria da Rua Alves Guimarães - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 03/2024;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 03/2024 tombamento Escadaria Rua Alves Guimaraes
1caan6wh4NFNbOdXddaI5-hg-HCA1NUDt;03-25 - Arquivamento da Mancha H da Res.11-23 - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 03/2025;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 03/2025 arquivamento Mancha H da Res 11/2023
1uU076bHOAbrvcduwkr1A4Tt2OLDm4U6o;04-22 - Alterar a redação Art 2º, da Res_ 34-18 - Mapas - Página(1).pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 04/2022 Mapas;NAO-SEI;ILEGIVEL;1p8d2Cx-qbLO0nRicRjbZ7h47cp2jqb7t;Mapas anexos Res CONPRESP 04/2022 sem texto extraivel PDF imagem
1lj35-9s6igQUNx8B76Hk9POrHj7dQVEu;04-22 - Alteração da redação Art 2º, da Res_ 34-18 - Página(1).pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 04/2022;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 04/2022 altera Art 2 da Res 34/2018 areas envoltorias
19WZps5vOQVD7Boj1ZREHevCbDtN46Y0P;04-24 -  Tombamento da Escadaria da Rua Cristiano Viana - Anexos I e II - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 04/2024 Anexos;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Anexos I e II Resolucao CONPRESP 04/2024 Escadaria Rua Cristiano Viana
1Qxvgh7Xqf80rxIGfslRUOIqBAC-WlsBY;04-24 -  Tombamento da Escadaria da Rua Cristiano Viana - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 04/2024;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 04/2024 tombamento Escadaria Rua Cristiano Viana
1rxDysnAc2IvKrrZlL8N8wyqnDeaztYBW;04-24 - Tombamento da Escadaria da Rua Cristiano Viana - MAPA - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 04/2024 Mapa;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Mapa anexo Resolucao CONPRESP 04/2024 Escadaria Rua Cristiano Viana
1tPGJX-MyMAMXc-I_qUbnIQBYU3EV9aAP;04-25 - Arquivamento das Manchas C e G e ID 13 a 17 e 21 a 26 da Res.11-23 - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 04/2025;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 04/2025 arquivamento Manchas C e G da Res 11/2023
1AgHx0k7yNj1a7UTP9qgGt5IAKOgcn-kD;05-22 - Tombamento das Luminárias Ornamentais da Light - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 05/2022;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 05/2022 tombamento luminarias ornamentais da Light
1wgj8z3N8saBcYpGtWUKnqB0mLZmheeue;05-23 - ZEPEC- APC - Espaco Itau de cinema Augusta(1).pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 05/2023;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 05/2023 abertura ZEPEC-APC Espaco Itau Cinema Augusta
19kxHcNKlKNZ8TTFWMLZn9bzxnjMNWvDs;05-24_-_plano_salvaguarda_-_pgina_1720030244.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 05/2024;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 05/2024 disciplina Planos de Salvaguarda patrimonio imaterial
1AsEpxy-4R98NU1QuhJDa1T_rpflBsB5i;05-25 - Arquivamento dos IDs 02 a 04 e IDs 07 e 08 da Res. 11-23 - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 05/2025;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 05/2025 arquivamento IDs 02 a 08 da Res 11/2023
1ODvPCX8moSh798S3cYEzx4b9OPGn1W14;06-20 - APT imóvel Rua Gal_ Isidoro Lopes, 36 - para DOC.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 06/2020;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 06/2020 abertura tombamento imovel Rua Gal Isidoro Lopes 36
1Oal4u_-Eb_DFg0k93wnutPOs4vBS2vl7;06-22 - Patrimônio Cultural Imaterial - Novena solene em honra a Nossa Senhora do Carmo.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 06/2022;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 06/2022 registro patrimonio imaterial Novena Nossa Senhora do Carmo
1zLmbtMs9yws_FFsKxqA8sPVjLexJbpCg;06-23_Complexo Esportivo do Ibirapuera(1).pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 06/2023;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 06/2023 abertura tombamento Complexo Esportivo Ibirapuera
167SGfCMro1cPgwnE_37-qXn2_IfaKvia;06-23_Complexo Esportivo do Ibirapuera_Mapa(1).pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 06/2023 Mapa;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Mapa anexo Resolucao CONPRESP 06/2023 Complexo Esportivo Ibirapuera
1NNyX7u1G4Aieaa_rxPbs4acNskUe-GTW;06-24 - Tombamento Antigas Residencias Rua Bela Cintra,954 e Rua Itapeva, 700 - Página (1).pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 06/2024;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 06/2024 tombamento antigas residencias Bela Cintra e Itapeva
1FMJTNWzPwjt83aWZ59uidjUq367-S3Ws;06-25 - Arquivamento dos IDs 42 a 48 da Res. 11-23 - Página (1).pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 06/2025;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 06/2025 arquivamento IDs 42 a 48 da Res 11/2023
1O8-YTTgaqBNQPf4HWD6D7f5aE9RFr3pB;07-24_-_apt_terreiro_ile_ase_omi_1719499071.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 07/2024;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 07/2024 abertura tombamento Terreiro Ile Ase Omo Igbo Omi
1swUIBz45l2GJSCdHr90x8yVqjhKAUaqH;07-24_-_apt_terreiro_ile_ase_omo_igbo_omi_-_mapa_1719334062.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 07/2024 Mapa;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Mapa anexo Resolucao CONPRESP 07/2024 Terreiro Ile Ase Omo Igbo Omi
1uvJMFzmUhX5B84XuUTCEkHx7n00kNWel;07-25 - Enquadramento como ZEPEC-APC do Território Augusta de Cinema - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 07/2025;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 07/2025 enquadramento ZEPEC-APC Territorio Augusta de Cinema
1-DZCcak6MYebUf3KkBBYQ9PBeWmn7wHc;08-23 - Zepec-APC - Santa Marina Atlético Clube - MAPA - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 08/2023 Mapa;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Mapa anexo Resolucao CONPRESP 08/2023 ZEPEC-APC Santa Marina Atletico Clube
1h0dLr0y2UE4LvVKDAr93chvNlALznO57;08-23 - Zepec-APC - Santa Marina Atlético Clube - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 08/2023;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 08/2023 abertura ZEPEC-APC Santa Marina Atletico Clube
1aJNHFAc5srJBXUUklO9y4vtGTZKICVik;08-24 - APT Terreiro de Candomblé Abassá Oxum Oxóssi - MAPA - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 08/2024 Mapa;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Mapa anexo Resolucao CONPRESP 08/2024 Terreiro Candomble Abassa Oxum Oxossi
1Lm-Be7GBKRSYBD0EQ9X7W7RJJq-CYPJn;08-24 - APT Terreiro de Candomblé Abassá Oxum Oxóssi - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 08/2024;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 08/2024 abertura tombamento Terreiro Candomble Abassa Oxum Oxossi
16XJbm0jcR0HTH6MSoorxBd7hG460n1-r;08-25 - Complementação e detalhamento da Resolução 02-24 - MAPA.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 08/2025 Mapa;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Mapa anexo Resolucao CONPRESP 08/2025 detalhamento Mancha dos Bombeiros
1ANmGCiBvvK40j5Y8wBV6iWq05sYjzfNU;08-25 - Complementação e detalhamento da Resolução 02-24 - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 08/2025;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 08/2025 complementa e detalha Res 02/2024 Mancha dos Bombeiros
1jgXGfKPQ4vMsKL4G9Kl6brjBhalojYeE;08-25 - Complementação e detalhamento da Resolução 02-24 - QUADRO 1.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 08/2025 Quadro 1;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Quadro I bens integrantes do perimetro tombado anexo Res CONPRESP 08/2025
1mdRC13p9TYhV3sVazkCS6hvEWd41ld61;08-25 - Complementação e detalhamento da Resolução 02-24 - QUADRO II.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 08/25;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Quadro II logradouros perimetro tombado CONPRESP
1jJ7ZNBO_lDqHOykV-CzrYIilVCUHLZ4d;09-23 - Arquivamento da APT - Conjunto do Sindicato dos Metroviários de São Paulo.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 09/23;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Arquivamento de APT de tombamento do sindicato metroviarios
1KukXvP1zy314YLyIV_HT06YBU8li4HY-;09-24 - Revalidação de Registro do Teatro de Grupo da Cidade - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 09/24;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Revalidacao registro patrimonio imaterial Teatro de Grupo
1NUZ-qPngwgbIE5CKCUmYjLfiqWPZJfiI;09-25 - Registro como Patrimônio Cultural Imaterial da Festa do Divino Espírito Santo da Freguesia do Ó - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 09/25;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Registro patrimonio imaterial Festa do Divino Freguesia do O
1H5AsWox1JmDY4AjjR4d3KVAoXHjq5O1b;10-23 - Tombamento Vila João Migliari - MAPA.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 10/23;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Mapa anexo tombamento Vila Joao Migliari
1xuI_0ve5FipAnEel2Mk8NEtc2oFotB18;10-23 - Tombamento Vila João Migliari.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 10/23;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Tombamento conjuntos residenciais Vila Migliari Mooca
1_OXIKno_j7fqCQU8frHELVZ5WMy46-t9;10-24 - Tombamento da Escola Panamericana de Artes - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 10/24;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Tombamento edificio Escola Panamericana de Arte e Design
1Vt6LAXzIQ23wuFIYvGWTVgAKpPVLpdrt;10-25 - APT do Mobiliário Bar Balcão - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 10/25;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Abertura tombamento balcao e acervo do Bar Balcao
1yo9wB-_MGF8AGRRHOJIZbtt9aOmSgWwM;11-23 - APT - Perímertro - MAPA_compressed.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 11/23;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Mapas perimetro APT Vila Cerqueira Cesar
1WHsRWFn97mvp_lfrRdioT-qOho4DtkHc;11-23 - APT Perímetro Cerqueira César - Anexo I - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 11/23 Anexo I;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Anexo I bens individuais APT Cerqueira Cesar
1LH77kNuWc7VETXsPdlHyNfEfwHl1vwi1;11-23 - APT Perímetro Cerqueira César - Anexo II - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 11/23 Anexo II;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Anexo II manchas urbanas heterogeneas APT Cerqueira Cesar
1O1zHAUpe_xDO3hmsHoLFs3nkKGM7ojK4;11-23 - APT Perímetro Cerqueira César - Anexo III - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 11/23 Anexo III;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Anexo III manchas urbanas de casario APT Cerqueira Cesar
1wfcg7OOw5WOcfIPT9qTaiyUYvu5s7roX;11-23 - APT Perímetro Cerqueira César - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 11/23;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Abertura processo tombamento perimetro Vila Cerqueira Cesar
1pZf_SJCR-SaZMD9sahzdS8su-YvPDKUW;11-24 - Exclusão de imóveis 05 e 06 do anexo I da Res. 11-23 - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 11/24;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Exclusao de imoveis do anexo I da Res 11-23
1GuNVLiYLICMmIJ42XZtXy4BHhtI0cA3E;11-25 - Enquandramento como  ZEPEC-APC do Santa Marina Atlético Clube - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 11/25;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Enquadramento ZEPEC-APC Santa Marina Atletico Clube
1AzO04NgN_qxR6rS4BZlxUwiWK8Ca39Cx;11-25 -Enquandramento como  ZEPEC-APC do Santa Marina Atlético Clube - MAPA.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 11/25;VIGENTE;ILEGIVEL;1p8d2Cx-qbLO0nRicRjbZ7h47cp2jqb7t;Mapa anexo sem texto extraivel apenas cabecalho DPH
1XOM1Yq1O1HrxynbLMYNx89Dr3QPKS1LW;12-23 - APT Capela Dom Bosco.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 12/23;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Abertura tombamento antiga Capela Dom Bosco Mooca
1IW-_AkWsXF1Vsv0DBotNaqA06TyNbvQf;12-24 - Arquivamento da APT de Residência na Rua General Isidoro Dias Lopes n° 36 - Vila Amália - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 12/24;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Arquivamento APT residencia Vila Amalia
