file_id;nome_arquivo;tema;entrega;n_colunas;tem_SQL;tem_ENDERECO;tem_CEP;tem_MATRICULA;tem_CPF;tem_CNPJ;tem_NOME;tem_ITBI;tem_VALORVENAL;tem_ANO;oficialidade;destino
1M_mzMY1G3HjwUH-WRR5TXt4Tj8sEBe0m;012 - QUADRO_5_FINAL.csv;Quadro 5 infracoes e multas;Tabela de infracoes imposicao da multa e valores em R$;4;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1Y6yW5yvVtNLNr0XLcmyJkXUSMI2N8uzj;1773019207408.csv;Cadastro areas contaminadas DataGeo SP;Catalogo de camadas de areas contaminadas e reabilitadas (links e bounding box);10;nao;nao;nao;nao;nao;nao;nao;nao;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1uxwJLMvJTUMd2wa_qA20BTX110ofTzFP;2013 - anual.xls;ITBI anual;Guia ITBI paga ano 2013 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1yAlK2a3ZaUH4ggTA0cirzODwdNoZcUIh;2014 - anual.xls;ITBI anual;Guia ITBI paga ano 2014 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1uPlCWCcxrzKuYNxEIOrpxIDYLRO_0QoT;2014-07-31 - LEI 16050 - PLANO DIRETOR ESTRATEGICO.csv;PDE Lei 16050 parametros TP TO CA;Tabela de TP TO CA por faixa de area (m2);4;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
125yL-Iy7jWcXWpL88FzWAH0wtkL0yeC-;2015 - anual.xls;ITBI anual;Guia ITBI paga ano 2015 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1hn4OCWfuxvJKBYhbMEFtKrdNweqGhn0C;2021.xlsx;Alvaras Aprova Digital 2021;Deferimentos com processo SEI descricao e SQLs por imovel;5;sim;nao;nao;nao;nao;nao;nao;nao;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1daPA_NbX7cNZPNBh-gL-zy0I3rdap__r;2022 (4) (1)(1).xlsx;Alvaras Aprova Digital 2022;Deferimentos com processo SEI descricao e SQLs por imovel;5;sim;nao;nao;nao;nao;nao;nao;nao;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1OP3JO5cRO6-d17OdDiBZZzISw1OJcNaU;aceleracoes_proponentes.xlsx;AdeSampa aceleracoes proponentes;Atendimentos de aceleracao por perfil demografico e subprefeitura;8;nao;nao;nao;nao;nao;nao;nao;nao;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1ec1UDzpF0cxbRZO51O5UgyxPs-RJpaty;ANEXOS_DO_PL_586_23___SEM_O_MAPA.csv;Anexos PL 586/23 conceitos PDE;Glossario de conceitos e definicoes do PL 586/23;8;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;dicionario
1287KOzQ3Rk4pTaNz0WV2TIBlB2z2JgeL;Ano_2023_SISSEL.xls;SISSEL processos aprovados 2023;Relatorio SISSEL alvaras/processos 2023 (xls legado sem snippet, header nao extraido);?;sim;sim;nao;nao;nao;nao;sim;nao;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1M5dHel-4gertsfFFSfGdJBy9930nhl8B;Ano_2024_AD.xlsx;Alvaras Aprova Digital 2024;Deferimentos com processo SEI descricao e SQLs por imovel;5;sim;nao;nao;nao;nao;nao;nao;nao;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1y0P03fNeOUBRr2fefGpp9p0oI1B25nlh;Ano_2025_AD_12.xlsx;Alvaras Aprova Digital 2025;Deferimentos com processo SEI descricao e SQLs por imovel;5;sim;nao;nao;nao;nao;nao;nao;nao;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1lm_QWG6gZkj1WNbjzEUmun3D4FPDW_QX;Ano_2026_AD_01.xlsx;Alvaras Aprova Digital 2026;Deferimentos jan/2026 com processo SEI descricao e SQLs;5;sim;nao;nao;nao;nao;nao;nao;nao;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
17AgTa3aSavPSZyhkzq8cUClOHpYamT94;ANUAL - 2022.xlsx;Alvaras anual 2022 detalhado;Alvaras com SQL_Incra proprietario endereco area zona;23;sim;sim;nao;nao;nao;nao;sim;nao;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1RmRzGGnPDpPaRG4cQ6wLXBA0DMxDQo1Z;anual2004.xls;ITBI anual;Guia ITBI paga ano 2004 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1fZe01n7QjrM36Wa06djuAPbAidgXHXfd;anual2005.xls;ITBI anual;Guia ITBI paga ano 2005 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1c6egKNeZwTaN5rduLzaODz8ey_h_JjzI;anual2006.xls;ITBI anual;Guia ITBI paga ano 2006 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1PuEKIOe7OnYYjFgUUE_eGwbPA7KevlNH;anual2007.xls;ITBI anual;Guia ITBI paga ano 2007 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1hkBiyXW2Av0cW05QXrGcynMGBjYWC5s5;anual2008.xls;ITBI anual;Guia ITBI paga ano 2008 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1g5LBELn83QcZGaq0TJHuhcucIp0TdfVu;anual2009.xls;ITBI anual;Guia ITBI paga ano 2009 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1zijXtTdvVr7l8drJ9iwy-1ZL8n7-0faW;anual2010.xls;ITBI anual;Guia ITBI paga ano 2010 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
11bG1XBxFWffwsxn-OQf_4CShRkyc8obp;Anual2011.xls;ITBI anual;Guia ITBI paga ano 2011 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1PqtTPUd54nUpYcDZ0ivGodLURvMLHe4u;Anual2019.xls;ITBI anual;Guia ITBI paga ano 2019 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
14Q1dsf_VemONHFz3PR4h42urE8Jx7sfq;Anual2020_ate_dezembro.xls;ITBI anual;Guia ITBI paga ano 2020 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1JweqKeggHG5fIUOpcfBuRIhL8DrT5sM3;anual_2000.xls;ITBI anual;Guia ITBI paga ano 2000 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1utqm7zOcTzT-lDJqqSvKV3qLvFG-4Tyf;anual_2001.xls;ITBI anual;Guia ITBI paga ano 2001 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1JIuk1-Fdl_tEGJaS8MxtcgFM4JrhR-X1;anual_2002.xls;ITBI anual;Guia ITBI paga ano 2002 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
11jmQaAP7ukKvm6r15PqxkUM1GlkgqL9I;Anual_2003.xls;ITBI anual;Guia ITBI paga ano 2003 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1X8hkpjN_oGIcpnhB1RzSDQOgeoUUutJW;anual_2012.xls;ITBI anual;Guia ITBI paga ano 2012 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1Q_j7KiKozBsJXuKa8pU74B4MpTtP9h3q;anual_2016 (1).xls;ITBI anual;Guia ITBI paga ano 2016 duplicata (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1M6Z9xkyr_z_iDU4gNeRfW51SIolHIwnw;anual_2016.xls;ITBI anual;Guia ITBI paga ano 2016 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1w4P8ca1zu8wrivSY4WuETThqKJK8GnVU;Anual_2017_dezembro.xls;ITBI anual;Guia ITBI paga ano 2017 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1Yqq3feMF-Sw35a78-KTMWGKNyaDKnXQK;Anual_2018.xls;ITBI anual;Guia ITBI paga ano 2018 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1BevQmC6kLO50TmBV8ObfNvSVgRSgeeRA;anual_2021_ate_dezembro.xls;ITBI anual;Guia ITBI paga ano 2021 (xls legado sem snippet, header nao extraido);?;nao;nao;nao;nao;nao;nao;nao;sim;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1FKfkkoj130-dS0Dei6ZXYwMEufGIualo;Analise de Omissoes da Legislacao - SMUL.csv;Servico SMUL legislacao;Pagina web SMUL sobre analise de omissoes da legislacao (texto institucional, sem tabela de dados);2;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1ewgYMYHetSrNRAo5zg_8mCFEi5T8AdTK;Aprova Digital_dezembro2020.xlsx;Licenciamento Aprova Digital;Processos de aprovacao digital dez2020 com SQL_incra e subprefeitura;9;sim;nao;nao;nao;nao;nao;nao;nao;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1_h6ZeNoyM3WxQPiriQSzCiSG7tXsFXkg;area_potencial_e_suspeita_de_contaminacao.csv;Areas contaminadas;Lista de lotes com potencial/suspeita de contaminacao (setor quadra lote SQL);7;sim;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1_EZO1mNf6JiTW989k_Jd_n0P-J9QCSe0;area_potencial_e_suspeita_de_contaminacao.ods;Areas contaminadas;Lista de lotes com potencial/suspeita de contaminacao ods (setor quadra lote SQL);7;sim;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1JWPBp9zd-u9zkwQkOqcKjeth25KQEQey;area_potencial_e_suspeita_de_contaminacao.xlsx;Areas contaminadas;Lista de lotes com potencial/suspeita de contaminacao xlsx (setor quadra lote SQL);7;sim;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1f_LKhRmvMJK8HcJaZEJygmZ71wznDVCE;Ativacao de Zonas de Estruturacao (ZEUP e ZEMP) por Particular - SMUL.csv;Servico SMUL zoneamento;Pagina web SMUL sobre ativacao de ZEUP/ZEMP por particular (texto institucional, sem tabela);2;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1Q499wCFws3H1d3w0jY1PFYOkCD5PjieF;Atualizacacao_Q14_anoref2025.csv;Outorga onerosa valor terreno;Quadro 14 PDE cadastro de valor de terreno por Setor Quadra SQ Codlog para outorga onerosa ref2025;5;sim;nao;nao;nao;nao;nao;nao;nao;sim;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1W9_8qbzU89cgwhaLbWH1h63OsCtdX3AI;Auditoria TDC Sao Paulo Memorial.csv;TDC memorial juridico;Memorial de fundamentacao legal da auditoria TDC (lista de leis e decretos, sem dados cadastrais);2;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;derivado;dicionario
1JM7spa4En4KmicoL5_HVVXp-E7ZNgs6T;AUDITORIA_1_BASE_ORIGINAL_COMPLETA.csv;ILEGIVEL;Arquivo vazio (4 bytes, somente BOM, sem cabecalho nem dados);0;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;indefinido;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1k-zbLK3o1Oo41bfPVDJ1SsDoxDld_cPZ;AUDITORIA_2_MOTOR_1_ATUAL.csv;ILEGIVEL;Arquivo vazio (4 bytes, somente BOM, sem cabecalho nem dados);0;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;indefinido;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1qXyJOgni06eiT0e4Bo5FVUlaxzgVTEW4;Balanco_Financeiro_05MAI2025.ods;Financeiro FUNDURB;Balancete financeiro FUNDURB SMUL exercicio 2025 maio (ingressos e dispendios);3;nao;nao;nao;nao;nao;nao;nao;nao;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1AahH3kMHd509-Nar799P3fBZZAmZt_mO;biosampa_geosampa_apas.ods;Areas protecao ambiental;Cadastro de APAs do GeoSampa (esfera, nome, area, instrumento legal);6;nao;nao;nao;nao;nao;nao;sim;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
18HfjwCgEDMGC8dKKsaY8EiQJzg7Q_QKC;catalogo_oficiais_para_preenchimento_20260307_223820.csv;Catalogo de arquivos SHP;Inventario de arquivos oficiais (shp/dbf/shx) para preenchimento de dominio e subpasta;7;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;derivado;dicionario
1shDJGqs3hofi6ovShiMK9qTvckZeDA0t;Certidao de Uso e Ocupacao do Solo - SMUL.csv;Servico SMUL uso do solo;Pagina web SMUL sobre certidao de uso e ocupacao do solo (texto institucional, sem tabela);2;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1ZyjtHHUDe4Tomb6WZ1pDlNmbgbwFm5WE;D57536.csv;TDC modelo certidao;Modelo/anexo do Decreto 57536 para declaracao de potencial construtivo transferivel (template, sem dados);10;nao;nao;nao;nao;nao;nao;nao;nao;nao;sim;oficial;dicionario
18aS4wR54NxmbVLWpY88vZnXHA8fX2qf-;ddf-01.26.xlsx;Divida fundada PMSP;Demonstracao da divida fundada interna/externa PMSP janeiro2026;11;nao;nao;nao;nao;nao;nao;nao;nao;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1L_gwlWQmbWxb8MG4R18lfoeaSMtK6GyM;ddf-12.25.xlsx;Divida fundada PMSP;Demonstracao da divida fundada interna/externa PMSP dezembro2025;11;nao;nao;nao;nao;nao;nao;nao;nao;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1KVXSmKIKiucjF2Q6_E1i0zPnm9LvkCPl;Declaracao de Potencial Construtivo Passivel de Transferencia - SMUL.csv;Servico SMUL TDC;Pagina web SMUL sobre declaracao de potencial construtivo transferivel (texto institucional, sem tabela);2;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1gU_mxinFX8t3wbUCl__AmlPpcrf5dL2O;DEEP_SCAN_BRONZE_ORIGINAIS.csv;Inventario camada Bronze;Catalogo de arquivos brutos (shp/csv/xlsx incl iptu-2020 socios empresas);3;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;derivado;dicionario
1_Hj4_c5oQXHfQW9_cC8NRN3fjfzsKkOF;DEEP_SCAN_SILVER_MOTOR1.csv;Inventario camada Silver;Catalogo de arquivos md tratados (legislacao e tombamento) com dominio e subpasta;3;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;derivado;dicionario
1d_WEkDRy-B_n-pw163mG_19RlFopLNki;dic_area_potencial_e_suspeita_de_contaminacao-arquivo.csv;dicionario area contaminada (metadados arquivo);Linha de metadados do arquivo Geosampa area contaminada;5;nao;nao;nao;nao;nao;nao;nao;nao;nao;sim;oficial;dicionario
1XNq8sd_z0medUQAtfridFsH9CXO1qdGZ;dic_area_potencial_e_suspeita_de_contaminacao-variaveis.csv;dicionario variaveis area contaminada;Dicionario de variaveis com SQL (setor/quadra/lote);8;sim;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;dicionario
1X1-ArwtElMTZeWpE8tdzoOD8C9qwecGf;dic_area_potencial_e_suspeita_de_contaminacao.ods;dicionario area contaminada (ods);Dicionario arquivo+variaveis area contaminada SVMA;8;sim;nao;nao;nao;nao;nao;nao;nao;nao;sim;oficial;dicionario
1wZBUpFfY4rAk1dC8bd4UaeZIaVI1csXz;dic_area_potencial_e_suspeita_de_contaminacao.xls;dicionario area contaminada (xls legado);xls legado sem snippet, inferido do nome;?;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;dicionario
1gDo375GIYkrCkTArLmOeW6gSMhhujdLY;dicionario_ad_v1.2.xlsx;dicionario Aprova Digital v1.2;Dicionario de variaveis SMUL Aprova Digital com SQL;6;sim;nao;nao;nao;sim;sim;nao;nao;nao;nao;oficial;dicionario
1-7ARNezeetcB1MgG9FR7q95B0HGZPuyZ;dicionario_ad_v1.xlsx;dicionario Aprova Digital v1;Dicionario de variaveis SMUL Aprova Digital com SQL;6;sim;nao;nao;nao;sim;sim;nao;nao;nao;nao;oficial;dicionario
1J09_7HER_DbfPYWqAgWHijTrZovKH6iZ;dicionario_geosampa_apas.ods;dicionario Geosampa APAs (ods);Dicionario variaveis APAs Geosampa SVMA;8;nao;nao;nao;nao;nao;nao;sim;nao;nao;sim;oficial;dicionario
178GlSInuP-XBcgFZLArq9rmROZN5VrRI;dicionario_geosampa_apas.xls;dicionario Geosampa APAs (xls legado);xls legado sem snippet, inferido do nome;?;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;dicionario
1ovv4M6hvkS7eH7d4T6IV7jBw9uqqn8H5;dicionario_geosampa_apas_arquivo.csv;dicionario Geosampa APAs (metadados arquivo);Linha de metadados do arquivo APAs Geosampa;5;nao;nao;nao;nao;nao;nao;nao;nao;nao;sim;oficial;dicionario
1GnOw3tsxWJcpET0pKtS0sZpcsK2bu-S4;dicionario_geosampa_apas_variaveis.csv;dicionario Geosampa APAs variaveis;Dicionario de variaveis APAs Geosampa;8;nao;nao;nao;nao;nao;nao;sim;nao;nao;sim;oficial;dicionario
1W4NKKz4HlioobdlHhekjzpJJgFkMJOph;DIVERSOS_IA.csv;zoneamento/bens protegidos com geometria;Arquivo grande 32MB poligonos ZONA e cadastro bens protegidos com SQL (setor/quadra/lote) e endereco;36;sim;sim;nao;nao;nao;nao;sim;nao;nao;sim;derivado;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1uRWg7wA4KuppJ1TSdEwRmV3H06fTXlnj;empresas.csv;cadastro de empresas (CNPJ);Arquivo muito grande 2.2GB snippet vazio inferido do nome cadastro empresas;?;nao;nao;nao;nao;nao;sim;nao;nao;nao;nao;indefinido;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1-LRNyTwNt4Ar5KLd2lq0TxDKaA8D5Vmz;Enquadramento de Atividade CNAE - SMUL.csv;Servico SMUL enquadramento CNAE;Captura de pagina web do servico de enquadramento CNAE sem dados tabulares;2;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1_Bz4sfUum20OXPs_d4AeovYOTWaZ0XRF;extrato-aprova-digital-1-sem.-2025.csv;extrato Aprova Digital 1sem 2025;Processos de licenciamento SMUL com SQL e areas;26;sim;nao;nao;nao;nao;nao;nao;nao;nao;sim;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
